0,1,2
0,523,0.281
1,524,0.274
2,533,0.265
3,544,0.255
4,543,0.246
5,544,0.241
6,560,0.238
7,560,0.235
8,577,0.234
9,577,0.232
10,577,0.23
11,577,0.229
12,577,0.227
13,580,0.226
14,580,0.224
15,579,0.223
16,580,0.222
17,579,0.22
18,579,0.219
19,579,0.218
20,577,0.217
21,580,0.217
22,579,0.215
23,583,0.215
24,579,0.213
25,580,0.213
26,583,0.212
27,580,0.211
28,579,0.21
29,579,0.209
30,579,0.208
31,579,0.207
32,580,0.207
