0,1,2
0,526,0.349
1,526,0.35
2,526,0.351
3,526,0.35
4,526,0.355
5,526,0.358
6,526,0.357
7,526,0.356
8,526,0.357
9,526,0.361
10,527,0.363
11,527,0.364
12,526,0.361
13,526,0.362
14,527,0.367
15,526,0.367
16,527,0.368
17,527,0.348
18,536,0.309
19,547,0.291
20,573,0.288
21,577,0.287
22,577,0.285
23,580,0.284
24,580,0.281
25,577,0.279
