0,1,2
0,581,0.266
1,580,0.265
2,581,0.264
3,580,0.26
4,580,0.259
5,581,0.26
6,581,0.26
7,580,0.258
8,581,0.26
9,581,0.259
10,581,0.258
11,580,0.254
12,580,0.252
13,580,0.247
14,547,0.239
15,536,0.279
16,527,0.34
17,527,0.368
18,527,0.37
19,527,0.369
20,527,0.369
21,527,0.371
22,527,0.373
23,527,0.374
24,527,0.375
25,527,0.376
26,528,0.382
