0,1,2
0,562,0.234
1,562,0.232
2,562,0.229
3,562,0.227
4,562,0.226
5,564,0.226
6,562,0.224
7,563,0.223
8,562,0.221
9,562,0.221
10,562,0.22
11,562,0.218
12,562,0.217
13,562,0.215
14,555,0.211
15,538,0.22
16,528,0.256
17,524,0.289
18,525,0.299
19,525,0.3
20,525,0.301
21,525,0.302
22,525,0.304
23,526,0.304
24,524,0.302
25,525,0.298
