0,1,2
0,525,0.297
1,525,0.297
2,525,0.297
3,524,0.297
4,523,0.297
5,524,0.297
6,525,0.298
7,525,0.298
8,526,0.298
9,524,0.298
10,524,0.298
11,524,0.298
12,525,0.299
13,524,0.298
14,525,0.299
15,524,0.299
16,525,0.299
17,529,0.296
18,533,0.279
19,547,0.267
20,554,0.261
21,562,0.257
22,561,0.252
23,562,0.249
24,562,0.245
