,time(min),abs,tspr_max,lspr_max
0,0.0,0.312,0.312,0.377
1,0.5,0.312,0.312,0.376
2,1.0,0.312,0.312,0.377
3,1.5,0.311,0.311,0.376
4,2.0,0.312,0.312,0.377
5,2.5,0.313,0.313,0.376
6,3.0,0.312,0.312,0.375
7,3.5,0.309,0.309,0.37
8,4.0,0.306,0.306,0.369
9,4.5,0.307,0.307,0.369
10,5.0,0.307,0.307,0.37
11,5.5,0.309,0.309,0.372
12,6.0,0.309,0.309,0.372
13,6.5,0.311,0.311,0.372
14,7.0,0.311,0.311,0.373
15,7.5,0.313,0.313,0.374
16,8.0,0.312,0.312,0.373
17,8.5,0.312,0.312,0.374
18,9.0,0.311,0.311,0.375
19,9.5,0.312,0.312,0.375
20,10.0,0.313,0.313,0.376
21,10.5,0.315,0.315,0.377
22,11.0,0.314,0.314,0.377
23,11.5,0.314,0.314,0.378
24,12.0,0.316,0.316,0.378
25,12.5,0.318,0.318,0.38
26,13.0,0.318,0.318,0.381
27,13.5,0.317,0.317,0.381
28,14.0,0.317,0.317,0.381
29,14.5,0.318,0.318,0.381
30,15.0,0.318,0.318,0.381
31,15.5,0.318,0.318,0.381
32,16.0,0.319,0.319,0.381
33,16.5,0.318,0.318,0.381
34,17.0,0.319,0.319,0.381
35,17.5,0.321,0.321,0.382
36,18.0,0.321,0.321,0.381
37,18.5,0.32,0.32,0.381
38,19.0,0.321,0.321,0.381
39,19.5,0.321,0.321,0.382
40,20.0,0.322,0.322,0.383
41,20.5,0.321,0.321,0.382
42,21.0,0.32,0.32,0.382
43,21.5,0.322,0.322,0.383
44,22.0,0.324,0.324,0.384
45,22.5,0.324,0.324,0.384
46,23.0,0.323,0.323,0.384
47,23.5,0.323,0.323,0.382
48,24.0,0.321,0.321,0.382
49,24.5,0.324,0.324,0.384
50,25.0,0.323,0.323,0.383
51,25.5,0.328,0.328,0.385
52,26.0,0.324,0.324,0.384
53,26.5,0.324,0.324,0.384
54,27.0,0.327,0.327,0.385
55,27.5,0.326,0.326,0.385
56,28.0,0.326,0.326,0.384
57,28.5,0.325,0.325,0.384
58,29.0,0.326,0.326,0.384
59,29.5,0.327,0.327,0.384
60,30.0,0.329,0.329,0.383
61,30.5,0.328,0.328,0.379
62,31.0,0.33,0.33,0.376
63,31.5,0.329,0.329,0.371
64,32.0,0.327,0.327,0.367
65,32.5,0.328,0.328,0.365
66,33.0,0.326,0.326,0.363
67,33.5,0.329,0.329,0.364
68,34.0,0.326,0.326,0.362
69,34.5,0.327,0.327,0.363
70,35.0,0.329,0.329,0.366
71,35.5,0.33,0.33,0.368
72,36.0,0.33,0.33,0.37
73,36.5,0.331,0.331,0.374
74,37.0,0.33,0.33,0.376
75,37.5,0.328,0.328,0.377
76,38.0,0.329,0.329,0.38
77,38.5,0.329,0.329,0.382
78,39.0,0.328,0.328,0.382
79,39.5,0.329,0.329,0.383
80,40.0,0.329,0.329,0.384
81,40.5,0.327,0.327,0.383
82,41.0,0.331,0.331,0.386
83,41.5,0.332,0.332,0.385
84,42.0,0.331,0.331,0.385
85,42.5,0.331,0.331,0.386
86,43.0,0.332,0.332,0.387
87,43.5,0.33,0.33,0.386
88,44.0,0.333,0.333,0.387
89,44.5,0.335,0.335,0.388
90,45.0,0.334,0.334,0.388
91,45.5,0.334,0.334,0.388
92,46.0,0.333,0.333,0.388
93,46.5,0.332,0.332,0.388
94,47.0,0.333,0.333,0.389
95,47.5,0.335,0.335,0.39
96,48.0,0.334,0.334,0.389
97,48.5,0.335,0.335,0.39
98,49.0,0.336,0.336,0.389
99,49.5,0.337,0.337,0.39
100,50.0,0.335,0.335,0.389
101,50.5,0.334,0.334,0.389
102,51.0,0.335,0.335,0.389
103,51.5,0.335,0.335,0.39
104,52.0,0.334,0.334,0.389
105,52.5,0.335,0.335,0.39
106,53.0,0.335,0.335,0.389
107,53.5,0.334,0.334,0.389
108,54.0,0.335,0.335,0.39
109,54.5,0.334,0.334,0.389
110,55.0,0.336,0.336,0.39
111,55.5,0.336,0.336,0.39
112,56.0,0.334,0.334,0.39
113,56.5,0.333,0.333,0.389
114,57.0,0.334,0.334,0.389
115,57.5,0.334,0.334,0.388
116,58.0,0.334,0.334,0.387
117,58.5,0.332,0.332,0.386
118,59.0,0.331,0.331,0.385
119,59.5,0.332,0.332,0.384
120,60.0,0.332,0.332,0.385
121,60.5,0.331,0.331,0.384
122,61.0,0.331,0.331,0.384
123,61.5,0.331,0.331,0.384
