,1,lspr_max
0,40.0,0.37
1,39.43,0.37
2,38.97,0.37
3,38.45,0.37
4,37.99,0.37
5,37.47,0.37
6,36.98,0.37
7,36.46,0.37
8,35.99,0.37
9,35.44,0.36
10,35.0,0.36
11,34.45,0.36
12,34.04,0.36
13,33.48,0.36
14,33.0,0.36
15,32.51,0.36
16,32.08,0.36
17,31.49,0.36
18,31.08,0.36
19,30.37,0.36
20,30.11,0.36
21,29.48,0.36
22,29.02,0.36
23,28.44,0.36
24,28.12,0.37
25,27.45,0.37
26,27.01,0.37
27,26.4,0.37
28,26.1,0.37
29,25.32,0.37
30,25.05,0.37
31,24.45,0.37
32,24.04,0.37
33,23.34,0.37
34,23.04,0.37
35,22.44,0.37
36,22.06,0.37
37,21.39,0.37
38,20.9,0.37
39,20.47,0.37
40,19.99,0.37
41,19.42,0.37
42,19.0,0.38
43,18.49,0.38
44,17.97,0.38
45,17.45,0.38
46,16.96,0.38
47,16.52,0.38
48,15.96,0.38
49,15.5,0.38
50,14.95,0.38
51,14.56,0.38
52,13.98,0.38
53,13.52,0.38
54,13.01,0.38
55,12.58,0.38
56,12.0,0.38
57,11.51,0.38
58,10.86,0.38
59,10.61,0.38
60,10.01,0.38
61,9.94,0.38
62,10.27,0.38
63,10.93,0.38
64,11.38,0.38
65,11.98,0.38
66,12.4,0.37
67,12.98,0.37
68,13.42,0.37
69,13.94,0.38
70,14.38,0.38
71,15.05,0.38
72,15.35,0.38
73,15.92,0.38
74,16.43,0.38
75,16.97,0.38
76,17.39,0.38
77,17.89,0.38
78,18.43,0.38
79,19.01,0.38
80,19.39,0.38
81,19.89,0.38
82,20.38,0.38
83,21.0,0.38
84,21.38,0.38
85,21.89,0.38
86,22.35,0.38
87,22.98,0.38
88,23.32,0.38
89,23.91,0.38
90,24.32,0.38
91,25.01,0.38
92,25.59,0.38
93,25.95,0.38
94,26.52,0.38
95,26.92,0.38
96,27.53,0.38
97,27.92,0.38
98,28.52,0.38
99,28.91,0.38
100,29.49,0.38
101,29.89,0.38
102,30.47,0.38
103,30.9,0.38
104,31.4,0.38
105,31.94,0.38
106,32.46,0.38
107,32.92,0.38
108,33.42,0.38
109,33.95,0.38
110,34.45,0.38
111,34.96,0.38
112,35.42,0.38
113,35.94,0.38
114,36.41,0.38
115,36.93,0.38
116,37.4,0.38
117,37.9,0.38
118,38.41,0.38
119,38.88,0.38
120,39.4,0.38
121,39.87,0.38
122,40.02,0.38
123,39.98,0.38
124,39.99,0.38
125,40.0,0.38
126,40.0,0.38
