,0,1
0,0.0,39.95
1,0.5,39.39
2,1.0,38.91
3,1.5,38.41
4,2.0,37.93
5,2.5,37.42
6,3.0,36.95
7,3.5,36.43
8,4.0,35.97
9,4.5,35.41
10,5.0,34.98
11,5.5,34.32
12,6.0,33.98
13,6.5,33.39
14,7.0,32.97
15,7.5,32.34
16,8.0,32.03
17,8.5,31.39
18,9.0,30.96
19,9.5,30.32
20,10.0,30.04
21,10.5,29.32
22,11.0,28.94
23,11.501,28.39
24,12.001,27.96
25,12.501,27.29
26,13.001,26.94
27,13.501,26.35
28,14.001,25.99
29,14.501,25.27
30,15.001,24.9
31,15.501,24.38
32,16.001,23.91
33,16.501,23.33
34,17.001,22.91
35,17.501,22.39
36,18.001,21.91
37,18.501,21.38
38,19.001,20.86
39,19.501,20.42
40,20.001,19.88
41,20.501,19.41
42,21.001,18.88
43,21.501,18.46
44,22.001,17.9
45,22.501,17.42
46,23.001,16.93
47,23.501,16.51
48,24.001,15.9
49,24.501,15.48
50,25.001,14.79
51,25.501,14.54
52,26.001,13.93
53,26.501,13.41
54,27.001,12.88
55,27.501,12.52
56,28.001,11.9
57,28.501,11.42
58,29.001,10.82
59,29.501,10.54
60,30.001,9.79
61,30.501,10.06
62,31.001,10.63
63,31.501,11.3
64,32.001,11.64
65,32.501,12.24
66,33.001,12.64
67,33.501,13.34
68,34.001,13.62
69,34.501,14.26
70,35.001,14.65
71,35.501,15.25
72,36.001,15.81
73,36.501,16.25
74,37.001,16.7
75,37.501,17.28
76,38.001,17.82
77,38.501,18.22
78,39.001,18.82
79,39.501,19.2
80,40.001,19.79
81,40.501,20.23
82,41.001,20.8
83,41.501,21.26
84,42.001,21.77
85,42.501,22.25
86,43.001,22.83
87,43.501,23.21
88,44.001,23.74
89,44.501,24.25
90,45.001,24.75
91,45.501,25.2
92,46.001,25.68
93,46.501,26.22
94,47.001,26.72
95,47.501,27.19
96,48.001,27.73
97,48.501,28.19
98,49.001,28.84
99,49.501,29.18
100,50.001,29.8
101,50.501,30.2
102,51.001,30.79
103,51.501,31.36
104,52.001,31.8
105,52.501,32.29
106,53.001,32.76
107,53.501,33.25
108,54.001,33.76
109,54.501,34.35
110,55.001,34.73
111,55.501,35.26
112,56.001,35.73
113,56.501,36.35
114,57.001,36.71
115,57.502,37.24
116,58.002,37.74
117,58.501,38.26
118,59.002,38.76
119,59.502,39.23
120,60.002,39.77
121,60.502,40.02
122,61.002,39.98
123,61.502,39.99
