,Abs,Abs.1,Abs.2,Abs.3,Abs.4,Abs.5,Abs.6,Abs.7,Abs.8,Abs.9,Abs.10,Abs.11,Abs.12,Abs.13,Abs.14,Abs.15,Abs.16,Abs.17,Abs.18,Abs.19,Abs.20,Abs.21,Abs.22,Abs.23,Abs.24,Abs.25,Abs.26,Abs.27,Abs.28,Abs.29,Abs.30
0,0.0040753147957075,0.0096531054967848,0.0176545765624701,0.0237534282603911,0.0252932781362218,0.026740617133194,0.0248447833277928,0.0345190381780499,0.0283586153897173,0.0315465813812504,0.0310645300082666,0.0309101819300388,0.0326821978582058,0.0326703645397274,0.0332913233933996,0.0361181694936468,0.0337430633975719,0.0318135854076543,0.0347962900256653,0.0347168168048431,0.0332890036888659,0.0336914481468378,0.0333728563016431,0.034022283738912,0.0336610134106618,0.0359858903354877,0.0354474017048012,0.0355335543603675,0.0353522238754119,0.0374182952724456,0.0347792668380797
1,0.0053321827148702,0.0104589230902505,0.011221131437374,0.0203849907000329,0.0217630987546786,0.0270284552765487,0.025434608535475,0.0331757165734631,0.0297061944669158,0.0270206316646436,0.0255629159885092,0.0320256292866529,0.0351723164098577,0.0319650785410543,0.0317134083321442,0.0308311109117187,0.0282226562479566,0.0301630701980697,0.0324911180390945,0.032394521909388,0.0316365296747119,0.0359915429476604,0.0306213159304139,0.0353349542419438,0.0328051829861149,0.0381387462174599,0.036404607676842,0.035433498655447,0.0372199878917886,0.0372620959548672,0.0375703734610781
2,0.0050624258997817,0.0087607089293202,0.0182871668681037,0.0214868877291297,0.0230927111141074,0.0293144862171562,0.0239540497603772,0.0337463647442825,0.0313215556322073,0.0323564528142722,0.0306596776963016,0.0298685169464021,0.0334555787914386,0.032880705185359,0.0317288358231591,0.0358433057353622,0.0347173215288819,0.0352982831188549,0.0353156916886185,0.0345046323120887,0.0342848199643703,0.0356319190581397,0.0347259019272888,0.0363551238644558,0.0357841599390451,0.0346301531691119,0.0352939310854458,0.0380262779517366,0.0341293233483595,0.0393146801654348,0.0392480894528909
3,0.0079391038281528,0.0103631014556806,0.0192595523967077,0.0198408873268539,0.023447232570767,0.0238841936452896,0.0306091497638299,0.0317313699941233,0.0278828478817895,0.0287524767448809,0.0257603649903033,0.0319837472218878,0.0337632075986208,0.0353746333015509,0.0318585430998738,0.0339410206918397,0.0350210193763401,0.0320711105939644,0.0342833913378854,0.0345999329075327,0.0370682578672419,0.0392024736238062,0.033935086817706,0.0368207705768292,0.0367305873506159,0.0361469764214967,0.0353514937631839,0.0362310169227316,0.0406762738849846,0.0384641639269595,0.0364518449259163
4,0.0072346093589547,0.0096290204845857,0.0198262557293185,0.0213255194534058,0.025794865989271,0.029709853331787,0.0303669528842913,0.0348795926733804,0.0339521889106932,0.0320429907677585,0.032347779663011,0.0320347140200535,0.035335178883174,0.0351559801908034,0.0349752281058479,0.0365342549777119,0.0348300859749844,0.037231579188442,0.0371776865141423,0.0383985518542141,0.0361193509902191,0.0374545532826771,0.0388746622840884,0.0368587821760226,0.03786378732161,0.0387755887661622,0.039600484415646,0.0396005411302526,0.03755659985291,0.0385684849052571,0.0415450093741837
5,0.0089344120937034,0.0105842602135863,0.0160744744156944,0.0198811809590534,0.0248305577654342,0.0264614433199468,0.0268116776835671,0.0324445327589281,0.0304790930749927,0.0324854550106921,0.0290342623545521,0.03264775933232,0.0352851990725291,0.0323631181511114,0.0325120690964556,0.0335306828754966,0.0331307340809308,0.0351618465630159,0.0342322440033579,0.038235921904737,0.0362887320888389,0.036021016465708,0.0377708175972101,0.0370866397274856,0.0377059030926874,0.0380023186274408,0.0384728186730878,0.0380905338917335,0.0361115025375168,0.0389742114711157,0.0376333481232008
6,0.0059295078844283,0.0065365115133653,0.0160763278999756,0.0204911089990691,0.0221596020283786,0.0265879354794402,0.0263878818362157,0.0314440446782423,0.0277363865030492,0.0296045347008585,0.029629614847375,0.0291909074103754,0.0295010147501293,0.030435333021785,0.0343955107855236,0.0310089227942309,0.0308551781053368,0.0325012726197708,0.0322620614322852,0.0348117432827907,0.0341013779498459,0.0347616554121644,0.0348613039892393,0.0356624922313147,0.0350764972545341,0.0329753428483931,0.0354416999963812,0.0337009314646097,0.0311141932690865,0.0354702373759628,0.0350556185567122
7,0.0055680723123751,0.0061137382770305,0.017432941503342,0.0218772312839079,0.0257050207846539,0.0238772195913439,0.02489733149648,0.033607729785227,0.0267936980728479,0.031722124518746,0.0278603248857505,0.0299014878820944,0.0330604757207539,0.0315262335466039,0.032889472753551,0.0350351337131556,0.035818932418649,0.0333577895890652,0.0339995520678768,0.0341316475456641,0.0349681578252639,0.0348526928663069,0.0345969334230039,0.0348458489685538,0.0349482943195752,0.035516979812354,0.0349326959321818,0.0351413847760247,0.0381828654677636,0.0385123328915963,0.0358948681009002
8,0.0062113577251039,0.0112688155649859,0.015093909204496,0.0204607713335373,0.0234098850748359,0.024142367134577,0.0266148511164935,0.0326260482778908,0.0290782966319854,0.0299509351123298,0.0289157711556468,0.0319914378372292,0.0304974758338082,0.0326151931576761,0.0342125261578492,0.0337214653755308,0.0310992881329943,0.0348759460951324,0.0353194542776637,0.03389052937199,0.0364415130981301,0.037326041457263,0.0366730387728984,0.0366260027701499,0.0351384938193753,0.0371736539979209,0.0368121486903283,0.0359091233355481,0.035732329656466,0.0383145432799819,0.0377821694555252
9,0.0042396253055287,0.0099888466935752,0.0149917808797199,0.0211326577935347,0.0237362309753205,0.0238113681642144,0.0280900535151491,0.0328316770791948,0.0296237395892263,0.0286001922019683,0.0317634243560367,0.0300976459750269,0.03131256926833,0.0313575585955839,0.0334004193957625,0.0325890192021669,0.0331006459085503,0.034764936467637,0.0349296380406215,0.0335911446679854,0.0357161128830103,0.0356440019484083,0.0345710041633443,0.0359403346545898,0.0350965350132721,0.0352549051219865,0.0359344577573401,0.0373892346170261,0.0358428278140435,0.0364098434953646,0.0377930980173655
