time(s);time_scaled;abs_corr
1118;618;7.27E+01
1120;620;-2.98E+01
1122;622;-0,00132
1124;624;6.51E+01
1126;626;0,00163
1128;628;0,0046
1130;630;0,00558
1132;632;0,00555
1134;634;0,00353
1136;636;0,00151
1138;638;4.83E+01
1140;640;-0,00254
1142;642;-0,00357
1144;644;-0,0046
1146;646;-0,00464
1148;648;-0,00267
1150;650;-0,00171
1152;652;-7.60E+01
1154;654;1.91E+01
1156;656;-8.60E+01
1158;658;-0,00192
1160;660;2.73E+00
1162;662;0,00297
1164;664;0,00491
1166;666;0,00484
1168;668;0,00378
1170;670;0,00171
1172;672;6.39E+01
1174;674;-0,00143
1176;676;-0,00351
1178;678;-0,00459
1180;680;-0,00468
1182;682;-0,00477
1184;684;-0,00286
1186;686;-0,00196
1188;688;-0,00107
1190;690;-0,00117
1192;692;-2.79E+01
1194;694;6.11E+01
1196;696;0,0015
1198;698;0,00439
1200;700;0,00628
1202;702;0,00617
1204;704;0,00506
1206;706;0,00395
1208;708;-1.55E+01
1210;710;-0,00126
1212;712;-0,00337
1214;714;-0,00348
1216;716;-0,0056
1218;718;-0,00471
1220;720;-0,00383
1222;722;-0,00295
1224;724;-0,00207
1226;726;-0,00119
1228;728;-0,00132
1230;730;-4.39E+01
1232;732;0,00144
1234;734;0,00432
1236;736;0,00521
1238;738;0,00709
1240;740;0,00498
1242;742;0,00388
1244;744;0,00178
1246;746;-0,00132
1248;748;-0,00242
1250;750;-0,00351
1252;752;-0,0036
1254;754;-0,0047
1256;756;-0,00279
1258;758;-0,00188
1260;760;-0,00196
1262;762;-0,00105
1264;764;-0,00113
1266;766;7.92E+01
1268;768;0,00172
1270;770;0,00465
1272;772;0,00658
1274;774;0,00552
1276;776;0,00547
1278;778;0,00342
1280;780;3.70E+01
1282;782;-6.72E+01
1284;784;-0,00271
1286;786;-0,00375
1288;788;-0,00478
1290;790;-0,00482
1292;792;-0,00385
1294;794;-8.87E+01
1296;796;-9.19E+01
1298;798;-0,00195
1300;800;-9.79E+01
1302;802;9.94E+01
1304;804;0,00297
1306;806;0,00395
1308;808;0,00593
1310;810;0,00692
1312;812;0,0049
1314;814;0,00189
1316;816;-0,00111
1318;818;-0,00212
1320;820;-0,00313
1322;822;-0,00513
1324;824;-0,00514
1326;826;-0,00415
1328;828;-0,00316
1330;830;-0,00217
1332;832;-0,00119
1334;834;-2.03E+01
1336;836;-2.18E+01
1338;838;0,00177
1340;840;0,00475
1342;842;0,00474
1344;844;0,00573
1346;846;0,00471
1348;848;0,0037
1350;850;0,00169
1352;852;-3.18E+01
1354;854;-0,00333
1356;856;-0,00435
1358;858;-0,00536
1360;860;-0,00538
1362;862;-0,00441
1364;864;-0,00344
1366;866;-0,00247
1368;868;-0,00251
1370;870;-0,00254
1372;872;-5.83E+01
1374;874;0,00238
1376;876;0,00434
1378;878;0,0053
1380;880;0,00626
1382;882;0,00622
1384;884;0,00519
1386;886;0,00316
1388;888;1.23E+01
1390;890;-0,00191
1392;892;-0,00294
1394;894;-0,00398
1396;896;-0,00502
1398;898;-0,00506
1400;900;-0,0041
1402;902;-0,00414
1404;904;-0,00319
1406;906;-0,00124
1408;908;-2.90E+01
1410;910;0,00166
1412;912;0,00361
1414;914;0,00556
1416;916;0,00552
1418;918;0,00648
1420;920;0,00544
1422;922;0,0034
1424;924;0,00136
1426;926;-0,00167
1428;928;-0,00271
1430;930;-0,00375
1432;932;-0,00479
1434;934;-0,00383
1436;936;-0,00387
1438;938;-0,00291
1440;940;-0,00296
1442;942;-0,00201
1444;944;-0,00206
1446;946;8.90E+01
1448;948;0,00284
1450;950;0,00379
1452;952;0,00474
1454;954;0,0047
1456;956;0,00465
1458;958;0,00361
1460;960;0,00156
1462;962;-0,00148
1464;964;-0,00252
1466;966;-0,00356
1468;968;-0,00361
1470;970;-0,00265
1472;972;-0,0027
1474;974;-0,00175
1476;976;-0,0018
1478;978;-0,00185
1480;980;1.00E+00
1482;982;0,00105
1484;984;0,003
1486;986;0,00295
1488;988;0,0039
1490;990;0,00285
1492;992;0,0028
1494;994;7.49E+01
1496;996;-0,0013
1498;998;-0,00235
1500;1000;-0,0024
1502;1002;-0,00245
1504;1004;-0,0025
1506;1006;-5.48E+01
1508;1008;-0,0016
1510;1010;-0,00165
1512;1012;-7.07E+01
1514;1014;-7.61E+01
1516;1016;1.85E+01
1518;1018;0,00113
1520;1020;0,00208
1522;1022;0,00303
1524;1024;0,00298
1526;1026;0,00193
1528;1028;0,00188
1530;1030;-1.60E+01
1532;1032;-2.04E+01
1534;1034;-0,00125
1536;1036;-0,00129
1538;1038;-0,00133
1540;1040;-3.76E+01
1542;1042;-4.18E+01
1544;1044;-4.60E+01
1546;1046;-0,0015
1548;1048;-0,00154
1550;1050;-0,00159
1552;1052;3.72E+01
1554;1054;3.30E+01
1556;1056;0,00229
1558;1058;0,00225
1560;1060;0,00321
1562;1062;0,00217
1564;1064;1.37E+01
1566;1066;-8.99E+01
1568;1068;-0,00193
1570;1070;-0,00197
1572;1072;-0,00101
1574;1074;-0,00104
1576;1076;-0,00108
1578;1078;-0,00112
1580;1080;-0,00116
1582;1082;-0,00119
1584;1084;-2.31E+01
1586;1086;-2.68E+01
1588;1088;6.96E+01
1590;1090;0,00166
1592;1092;0,00363
1594;1094;0,00359
1596;1096;0,00256
1598;1098;0,00153
1600;1100;5.04E+01
1602;1102;-5.24E+01
1604;1104;-0,00155
1606;1106;-0,00158
1608;1108;-0,00161
1610;1110;-0,00164
1612;1112;-0,00167
1614;1114;-0,0017
1616;1116;-7.37E+01
1618;1118;-0,00177
1620;1120;-8.06E+01
1622;1122;1.58E+00
1624;1124;0,00112
1626;1126;0,00209
1628;1128;0,00305
1630;1130;0,00201
1632;1132;0,00198
1634;1134;9.43E+01
1636;1136;-9.33E+00
1638;1138;-0,00213
1640;1140;-0,00317
1642;1142;-0,00121
1644;1144;-0,00225
1646;1146;-0,00129
1648;1148;-0,00133
1650;1150;-3.71E+01
1652;1152;-4.14E+01
1654;1154;-4.57E+01
1656;1156;5.00E+01
1658;1158;0,00146
1660;1160;0,00241
1662;1162;0,00237
1664;1164;0,00333
1666;1166;0,00229
1668;1168;0,00126
1670;1170;2.19E+01
1672;1172;-8.18E+01
1674;1174;-0,00186
1676;1176;-0,00289
1678;1178;-0,00193
1680;1180;-0,00197
1682;1182;-0,00101
1684;1184;-0,00205
1686;1186;-0,00109
1688;1188;-1.35E+01
1690;1190;-1.76E+00
1692;1192;7.83E+01
1694;1194;0,00174
1696;1196;0,0027
1698;1198;0,00267
1700;1200;0,00263
1702;1202;0,00159
1704;1204;5.60E+01
1706;1206;-4.74E+01
1708;1208;-0,00151
1710;1210;-0,00154
1712;1212;-0,00157
1714;1214;-0,0016
1716;1216;-6.38E+00
1718;1218;-6.71E+01
1720;1220;-7.04E+01
