 ,Label,Major,Minor,Angle
212,,31.7,30.0,32.6
213,,26.5,24.4,135.0
214,,26.8,25.4,143.0
215,,26.9,24.8,157.8
216,,30.7,26.6,149.2
217,,31.5,28.9,88.6
218,,32.4,32.1,103.0
219,,29.7,28.1,87.4
220,,26.3,24.7,168.2
221,,25.7,23.6,121.9
222,,27.3,25.5,27.9
223,,30.3,27.6,75.0
224,,26.1,24.9,171.2
225,,29.6,28.6,141.8
226,,33.5,32.0,47.5
227,,28.7,25.7,84.9
228,,30.5,29.0,69.4
229,,33.2,31.3,14.9
230,,29.7,26.8,23.8
231,,29.4,28.7,62.4
232,,33.2,31.7,160.6
233,,29.9,28.4,132.9
234,,30.5,28.1,159.1
235,,31.4,29.6,47.7
236,,25.1,23.4,171.5
