 ,Major,Minor,Angle
995,52.6,19.0,19.6
996,50.6,17.1,58.6
997,59.0,19.2,40.5
998,51.5,18.3,145.6
999,56.4,19.7,29.9
1000,59.7,21.0,114.2
1001,49.3,17.2,76.8
1002,59.7,19.9,54.1
1003,57.3,16.2,146.1
1004,52.9,20.0,174.7
1005,59.6,20.0,160.5
1006,54.3,21.4,133.5
1007,55.4,18.3,19.8
1008,52.4,15.9,60.6
1009,56.0,20.4,98.6
1010,63.7,19.7,129.2
1011,55.1,19.4,98.1
1012,60.1,16.7,91.4
1013,46.7,17.5,0.5
1014,60.0,21.4,112.8
1015,47.3,16.6,63.6
1016,52.5,18.0,11.2
1017,51.8,19.3,137.0
1018,55.4,20.4,38.6
1019,55.6,20.1,156.4
1020,54.6,18.7,133.5
1021,56.3,17.5,158.1
1022,56.3,19.0,154.1
1023,55.3,19.9,108.9
1024,49.9,15.8,101.0
1025,50.3,17.9,52.3
1026,48.1,13.9,135.2
1027,68.1,19.3,12.3
1028,54.1,19.7,140.5
1029,48.6,15.3,33.0
1030,50.3,18.3,16.5
1031,54.3,18.6,74.4
1032,48.1,17.2,128.8
1033,63.2,22.0,66.5
1034,51.4,16.8,51.5
1035,48.7,17.6,87.2
1036,56.1,21.0,11.4
1037,55.8,20.4,48.2
1038,44.8,15.0,54.4
1039,52.1,17.7,105.7
1040,54.9,19.4,49.0
1041,53.2,17.7,99.3
1042,55.7,17.0,0.9
1043,54.8,22.2,71.2
1044,51.9,21.4,96.0
1045,59.4,19.5,28.3
1046,75.2,19.1,160.5
1047,52.4,19.3,9.8
1048,68.1,17.1,52.0
1049,54.7,19.7,17.4
1050,52.6,18.9,1.5
1051,54.7,19.3,101.6
1052,53.3,18.1,67.4
1053,52.6,17.6,119.1
1054,63.7,18.7,80.9
1055,53.5,17.1,55.1
1056,53.7,16.9,146.7
1057,52.1,17.4,151.2
1058,55.4,18.9,29.8
1059,64.1,20.1,144.4
1060,59.1,17.4,58.4
1061,49.9,21.0,95.0
1062,55.4,19.0,41.3
1063,47.4,15.9,159.0
1064,49.3,16.5,55.7
1065,47.3,18.6,137.6
1066,52.6,17.6,5.2
1067,57.9,19.8,165.1
1068,57.9,18.9,66.5
1069,60.9,18.6,28.9
1070,46.4,14.6,136.7
1071,58.0,21.3,105.4
1072,53.6,18.2,123.4
1073,52.6,19.6,121.7
1074,60.4,19.6,154.2
1075,52.0,16.6,40.4
1076,62.7,18.1,134.4
1077,52.5,19.1,100.1
1078,58.3,19.0,80.8
1079,57.8,21.4,89.1
1080,49.8,15.4,83.1
1081,55.4,18.5,155.4
1082,47.8,16.2,46.4
1083,51.6,16.6,37.3
1084,50.8,20.4,100.7
1085,47.8,15.7,124.0
1086,45.8,16.1,56.7
1087,57.9,19.6,102.3
1088,55.0,18.2,120.3
1089,59.8,18.9,30.6
1090,49.7,19.5,81.7
1091,52.8,19.4,165.7
1092,53.2,18.6,166.9
1093,58.4,21.4,65.5
1094,55.4,16.2,61.8
1095,49.7,16.7,132.8
1096,52.4,19.1,120.2
1097,55.0,20.2,94.7
1098,48.2,18.9,38.5
1099,54.5,18.8,55.5
1100,64.4,20.0,64.8
1101,51.9,18.0,178.1
1102,60.7,18.9,28.5
1103,50.3,17.6,81.7
1104,51.7,17.6,166.8
1105,48.2,16.4,60.5
1106,55.2,19.1,127.6
1107,55.7,19.9,36.6
1108,54.1,19.3,36.4
1109,46.8,16.9,152.3
1110,62.0,18.0,157.0
1111,53.0,19.7,173.7
1112,58.2,17.5,29.8
1113,55.6,18.9,12.2
1114,66.3,20.5,41.5
1115,59.4,20.2,58.8
1116,49.6,18.1,141.1
1117,55.9,16.8,37.9
1118,63.1,16.6,15.6
1119,55.8,17.5,61.4
1120,52.4,16.1,34.2
1121,56.0,20.8,29.0
1122,51.6,17.7,150.4
1123,52.5,19.8,65.5
1124,50.7,19.0,48.9
1125,52.5,18.8,108.0
1126,53.7,15.9,149.7
1127,52.0,17.8,71.3
1128,55.3,20.0,100.9
1129,56.1,20.7,42.6
1130,50.7,16.0,106.3
1131,54.9,18.3,164.4
1132,50.5,18.1,140.9
1133,55.3,16.5,163.1
1134,53.5,20.2,159.8
1135,56.8,20.6,107.3
1136,49.9,18.2,71.6
1137,43.8,14.5,137.3
1138,49.6,18.4,36.7
1139,59.8,17.2,143.2
1140,54.4,18.3,16.5
1141,56.9,19.2,172.3
1142,52.0,18.4,60.8
1143,52.2,17.2,116.5
1144,55.9,16.2,50.9
1145,64.8,20.3,125.4
1146,60.7,18.9,105.4
1147,55.2,19.0,73.7
1148,50.2,19.2,147.4
1149,50.8,16.7,150.2
1150,48.2,18.0,53.9
1151,61.0,20.9,71.4
1152,54.3,18.3,57.3
1153,48.9,20.5,48.7
1154,48.9,19.7,89.7
1155,54.2,20.2,9.9
1156,67.8,20.4,54.0
1157,56.4,17.8,33.7
1158,57.2,20.1,48.4
1159,52.7,17.6,158.5
1160,47.6,17.8,49.3
1161,49.1,13.8,44.7
1162,61.9,19.7,39.2
1163,59.9,18.7,46.9
1164,53.5,19.6,28.2
1165,57.1,17.6,179.0
1166,51.4,18.1,20.0
1167,47.8,17.3,48.3
1168,51.7,17.8,61.0
1169,46.4,17.7,156.8
1170,46.9,18.3,170.2
1171,46.4,17.3,46.9
1172,52.2,17.9,44.3
1173,52.7,21.0,85.8
1174,63.5,20.2,145.2
1175,50.0,17.2,60.8
1176,50.0,18.0,38.2
1177,54.4,18.3,37.6
1178,56.9,20.3,149.2
1179,58.2,18.5,78.8
1180,47.7,15.6,6.5
1181,48.6,16.7,33.6
1182,52.0,18.9,173.6
1183,52.0,20.3,95.3
1184,57.0,18.6,96.5
1185,49.2,19.5,44.5
1186,52.0,18.7,54.8
1187,54.6,18.9,138.1
1188,58.9,17.8,31.8
1189,51.4,15.7,164.1
1190,45.9,18.0,26.9
1191,37.2,20.1,127.5
1192,51.2,17.0,94.6
1193,49.9,16.8,77.2
1194,54.8,18.2,39.9
1195,55.8,19.2,26.7
1196,57.4,17.8,51.6
1197,59.7,17.1,57.8
1198,59.8,20.7,150.1
1199,46.8,17.2,90.8
1200,49.1,16.7,173.5
1201,55.9,19.5,49.0
1202,52.8,16.0,161.7
1203,58.4,17.5,19.2
1204,49.1,17.2,92.6
1205,54.3,17.7,33.1
1206,53.7,18.6,142.6
1207,51.4,16.7,21.6
1208,47.6,20.1,82.6
1209,49.4,20.2,92.0
1210,56.0,19.1,92.1
1211,57.9,19.3,28.0
1212,57.3,18.7,16.3
1213,47.8,17.3,28.2
1214,52.0,18.6,2.0
1215,51.4,13.8,48.2
1216,50.3,15.9,147.7
1217,48.3,17.9,18.0
1218,57.1,18.2,157.4
1219,47.7,17.3,14.2
1220,60.5,19.1,1.7
1221,46.3,15.9,3.5
