 ,Major,Minor,Angle
228,55.0,20.3,150.2
229,53.5,20.2,89.4
230,52.9,17.7,88.8
231,49.4,17.2,67.6
232,56.0,18.4,76.7
233,55.9,19.8,136.6
234,57.1,16.5,150.4
235,57.5,19.5,75.9
236,55.7,17.1,108.9
237,60.1,17.8,87.8
238,59.0,18.1,148.9
239,50.8,16.2,89.7
240,51.6,20.6,92.3
241,50.5,18.1,59.9
242,58.4,18.9,139.4
243,68.2,19.2,52.6
244,66.8,20.0,19.2
245,55.0,18.1,171.0
246,54.3,18.6,26.2
247,54.2,17.8,77.0
248,49.3,18.4,47.5
249,52.5,19.0,87.5
250,55.1,18.6,129.5
251,49.1,19.0,100.6
252,46.6,18.0,54.8
253,58.4,17.9,42.8
254,52.2,20.0,55.6
255,51.8,18.4,84.6
256,55.6,17.2,44.1
257,57.9,19.0,18.9
258,51.2,19.3,122.3
259,54.9,18.7,30.5
260,49.1,18.0,51.7
261,54.5,18.3,86.3
262,53.7,15.4,97.8
263,50.7,17.1,162.1
264,53.7,18.4,109.8
265,52.0,18.4,174.8
266,55.8,18.2,21.4
267,51.9,21.8,94.0
268,61.7,18.3,19.6
269,48.5,19.1,42.8
270,57.0,20.3,41.9
271,53.4,19.9,133.7
272,55.8,19.0,43.6
273,48.6,19.3,61.6
274,61.3,18.7,175.7
275,54.8,16.4,81.6
276,49.2,16.9,36.0
277,54.7,19.8,152.3
278,53.6,17.2,135.8
279,59.9,17.5,22.6
280,54.2,18.8,135.6
281,53.2,18.1,68.8
282,50.8,19.0,38.6
283,54.3,20.3,164.4
284,55.9,18.4,142.4
285,52.4,21.0,74.4
286,61.2,20.3,46.0
287,48.3,18.5,134.8
288,53.2,19.4,74.0
289,51.3,19.6,139.0
290,54.6,17.7,135.0
291,58.0,19.2,93.6
292,50.8,20.4,114.5
293,68.0,18.8,41.3
294,54.4,18.7,176.8
295,55.3,21.4,75.2
296,51.0,17.9,51.2
297,60.1,17.9,1.1
298,60.3,19.0,42.9
299,56.7,21.4,143.8
300,52.4,21.6,167.0
301,54.8,20.8,76.2
302,44.0,15.6,37.0
303,56.8,16.9,73.2
304,57.4,18.3,14.9
305,48.4,18.0,136.5
306,66.3,18.6,59.5
307,53.9,21.6,93.5
308,61.6,19.3,116.9
309,57.5,18.1,74.7
310,52.1,18.1,16.1
311,53.8,16.2,77.3
312,54.2,18.0,141.5
313,51.5,18.5,79.2
314,49.9,18.5,72.6
315,59.7,17.5,93.9
316,70.9,20.8,172.6
317,53.9,20.5,34.1
318,49.4,18.0,36.2
319,50.4,17.3,43.4
320,54.4,19.7,143.4
321,55.9,19.5,87.0
322,54.0,17.1,33.8
323,57.2,19.9,79.8
324,53.8,19.5,1.1
325,52.9,21.6,78.7
326,53.5,19.5,62.6
327,64.4,20.0,159.9
328,71.2,18.5,107.2
329,50.3,17.8,73.5
330,54.0,18.5,62.5
331,48.7,16.2,87.9
332,55.1,20.6,65.5
333,47.3,15.6,12.0
334,54.3,19.1,63.6
335,52.4,20.7,27.3
336,60.9,19.7,30.5
337,57.6,18.1,149.4
338,56.2,19.6,173.7
339,48.7,16.4,10.2
340,54.4,19.8,86.9
341,48.9,17.6,86.3
342,60.5,21.0,137.8
343,51.2,19.0,3.0
344,55.8,17.6,47.5
345,49.3,18.0,162.8
346,51.9,17.7,149.8
347,53.7,19.4,61.5
348,51.9,18.2,70.0
349,51.2,18.7,101.0
350,54.4,20.1,117.5
351,51.3,17.8,9.7
352,52.9,16.5,30.6
353,59.0,17.9,4.4
354,66.2,19.5,57.3
355,51.0,18.5,105.6
356,53.4,19.3,85.5
357,64.1,18.2,30.3
358,48.8,18.4,74.8
359,52.9,20.2,8.3
360,58.6,19.4,164.7
361,39.8,14.5,167.9
362,63.7,20.4,76.0
363,51.5,19.4,166.7
364,60.5,19.0,161.8
365,48.4,19.9,29.8
366,55.0,21.1,108.4
367,56.5,16.6,119.6
368,53.7,18.4,65.6
369,59.4,18.8,156.4
370,61.2,19.5,106.5
371,50.6,16.6,60.5
372,60.5,18.9,18.4
373,49.1,17.3,40.7
374,58.5,18.9,174.9
375,53.7,19.1,114.7
376,59.3,22.1,83.3
377,52.5,13.1,65.0
378,55.9,18.5,56.3
379,49.4,18.7,59.0
380,49.1,15.5,144.9
381,56.0,20.0,14.1
382,55.4,18.0,28.2
383,58.4,17.8,30.4
384,50.2,15.9,91.4
385,51.5,20.4,109.7
386,53.6,16.6,15.9
387,64.7,20.8,30.7
388,57.8,19.2,59.9
389,60.0,20.3,55.8
390,55.0,15.4,171.6
391,71.8,20.0,174.3
392,61.5,20.4,3.6
393,57.6,19.9,74.7
394,58.5,18.1,158.9
395,56.8,18.9,71.6
396,55.7,20.9,101.4
397,50.2,18.2,9.5
398,62.1,20.3,90.8
399,57.8,17.3,15.2
400,54.8,17.7,108.8
401,52.9,20.7,75.7
402,50.5,20.1,79.7
403,50.9,20.3,75.6
404,49.1,16.6,142.1
405,54.5,19.3,154.9
406,60.9,21.0,90.5
407,50.5,16.9,40.9
408,53.2,19.1,65.8
409,55.2,21.1,72.6
410,48.1,17.0,139.7
411,60.6,20.6,142.2
412,54.6,21.5,97.0
413,59.7,20.1,65.5
414,51.7,20.6,15.0
415,54.8,19.6,9.8
416,51.0,15.7,73.5
417,56.1,19.3,52.6
418,52.4,18.3,146.0
419,49.3,17.6,57.6
420,50.3,20.1,76.7
421,53.8,19.5,27.7
422,53.7,17.7,163.8
423,54.2,20.5,20.1
424,53.7,18.8,38.1
425,46.7,16.3,158.0
426,52.5,16.9,66.1
427,52.1,20.9,73.2
428,47.6,17.1,8.2
429,63.2,18.4,14.3
430,47.3,15.6,114.3
431,45.4,15.8,119.7
432,57.1,21.5,135.0
433,49.8,19.6,78.4
434,61.9,18.2,7.3
435,60.9,18.7,156.3
436,54.4,19.2,20.5
437,57.6,18.4,167.3
438,66.5,19.4,87.5
439,59.5,17.7,152.2
440,56.9,20.2,27.6
441,52.8,19.4,80.5
442,51.9,16.8,81.3
443,53.3,17.8,39.4
444,47.7,16.7,141.3
445,56.7,18.4,156.0
446,66.5,17.9,79.9
447,61.8,19.0,27.3
448,54.4,19.0,12.8
449,55.7,19.4,62.0
450,50.4,15.6,12.9
451,52.3,19.4,20.4
452,54.1,18.0,18.4
453,51.6,17.4,143.2
454,55.4,18.2,54.1
455,51.6,16.6,137.7
456,59.2,20.7,90.4
457,58.4,19.9,28.4
458,52.8,19.2,1.2
459,59.8,19.2,39.0
