10ul nr-200ulh2o,,20uL-2M NaCl,
Wavelength (nm),Abs,Wavelength (nm),Abs
955,0.0211800837629861,955,0.0721829738225066
954,0.0207916694772819,954,0.0723614584096794
953,0.0214255857404665,953,0.0735403248993676
952,0.0214357568115339,952,0.0741549561678755
951,0.0210100809001314,951,0.0742604124337962
950,0.0212959390535786,950,0.0760438984394012
949,0.0220077324296428,949,0.077320062625361
948,0.0221375918089103,948,0.077932450651728
947,0.0222983356671633,947,0.0792802970570143
946,0.0216281001623148,946,0.079894990658261
945,0.0214907499897727,945,0.0810019831125882
944,0.0215938741703915,944,0.0818314343862312
943,0.0222179835458157,943,0.0834714811621542
942,0.0223150400939633,942,0.0842953573385863
941,0.0221626802791715,941,0.084829008214169
940,0.0232902690305269,940,0.0872529522970916
939,0.0233990939677945,939,0.0880210440461233
938,0.0234579155835197,938,0.0891921686095802
937,0.0231967898615026,937,0.0903930112905099
936,0.023236385650859,936,0.0912212894084943
935,0.0234307577490848,935,0.0923196279220238
934,0.0233667495722492,934,0.0942852863191777
933,0.0240847114026316,933,0.0952337639919966
932,0.0246441883856406,932,0.0973823910487608
931,0.0244214228566081,931,0.0977867102032598
930,0.0246852041596761,930,0.0992694711179206
929,0.0254484970719904,929,0.100458578756946
928,0.0257752528240648,928,0.101720242001761
927,0.0264162980902611,927,0.103704557697189
926,0.0266392637759271,926,0.105328855181775
925,0.0263249490658072,925,0.105958182176827
924,0.0266242912493535,924,0.107883609835627
923,0.0278917911600813,923,0.109938662947726
922,0.0274988471244668,922,0.11126168758683
921,0.0272202604882066,921,0.112504493187734
920,0.0273688085984825,920,0.114154527009161
919,0.0284346395501372,919,0.116036302996235
918,0.0284488731056898,918,0.11726265241695
917,0.0290817011020961,917,0.119181644727156
916,0.0289282496724351,916,0.12010753331092
915,0.0294619240995488,915,0.121656268526112
914,0.0299490214580352,914,0.123646225375545
913,0.0303006097329094,913,0.125079889843729
912,0.0306792626704443,912,0.127350676967976
911,0.030875994802272,911,0.128488781265969
910,0.0313620104830988,910,0.130076062143486
909,0.0315312160335682,909,0.131770868204912
908,0.0333721854164946,908,0.135040817671198
907,0.0333560285788553,907,0.136404737567758
906,0.0335510968780766,906,0.137848433229942
905,0.0339884666106489,905,0.139617778875403
904,0.0334789530561822,904,0.14034147258295
903,0.0343974721528976,903,0.143053754429598
902,0.0350859547369441,902,0.144560021165814
901,0.0359530166512033,901,0.146573248776032
900,0.0360692527308969,900,0.148617283730892
899,0.0365089981684244,899,0.15065109959313
898,0.0374960068100017,898,0.153065032506821
897,0.0379825983828841,897,0.15524801571435
896,0.0383518658508202,896,0.156762414343482
895,0.0390985950786405,895,0.158233106379486
894,0.0389107589683458,894,0.160556727976677
893,0.039728337948318,893,0.162392923063265
892,0.040339906296059,892,0.164943358762142
891,0.0413040399413597,891,0.167117115408413
890,0.0420681868476551,890,0.169296722911948
889,0.0428584508545345,889,0.170762607699478
888,0.0431307590810406,888,0.173517731640645
887,0.0439424083701163,887,0.175753798342666
886,0.044446689704448,886,0.177689977383366
885,0.0453312543507159,885,0.179834444622501
884,0.0460002940219491,884,0.181766597474446
883,0.0465880560995901,883,0.184310143647643
882,0.0471264076118692,882,0.18639501949988
881,0.0475272162714209,881,0.187900479698707
880,0.0484872246689663,880,0.190328822248733
879,0.0490866246657778,879,0.192410004902894
878,0.0503700542571296,878,0.195796673929014
877,0.0510179103901837,877,0.197387578726609
876,0.0516570546470314,876,0.200116845025813
875,0.0524620273219267,875,0.20254743381475
874,0.053528817089972,874,0.205356190461544
873,0.0539860539790025,873,0.206610464758197
872,0.0546609377472719,872,0.209564550167924
871,0.0558006386176349,871,0.21011254895898
870,0.0570783499323948,870,0.214378589983004
869,0.0573921027931232,869,0.216375777918572
868,0.0593871466004164,868,0.218324031075216
867,0.0598544588249048,867,0.220788831532909
866,0.0610473625845915,866,0.224876747994308
865,0.0610325855916483,865,0.226280162195179
864,0.0621503519841205,864,0.229572349932831
863,0.064222612892417,863,0.231601897199177
862,0.0642776273708753,862,0.233510749194639
861,0.0653002495379977,861,0.236932519056515
860,0.065783338486837,860,0.239221344830495
859,0.0665878823366511,859,0.23986831045764
858,0.0692333392602434,858,0.24325588843376
857,0.069792013685823,857,0.246649633463128
856,0.0711590995921964,856,0.249628027142717
855,0.0723258351228792,855,0.251791401532192
854,0.0724176665846814,854,0.25410578299418
853,0.0743186792504841,853,0.256000951448246
852,0.0760167604657229,852,0.258289371242227
851,0.0769202557528747,851,0.26165241435517
850,0.0776091717869904,850,0.265435557568424
849,0.0791614074946221,849,0.26759155445264
848,0.0801874697761486,848,0.270348082501474
847,0.0813551453694818,847,0.273519585346016
846,0.0834528468646745,846,0.275877933957874
845,0.0844853999964932,845,0.280349612023428
844,0.0852252358308932,844,0.281421697800288
843,0.088264678163043,843,0.285222807876762
842,0.088488296180674,842,0.287792011928727
841,0.0911056950931938,841,0.290106220442836
840,0.091863077856445,840,0.291930824157873
839,0.0935086779759794,839,0.295922506965187
838,0.0953292158335795,838,0.299473572534788
837,0.0971101835523393,837,0.302449258329913
836,0.0982387252789287,836,0.305897798789454
835,0.100518902748008,835,0.308904961766002
834,0.101738989730158,834,0.310562107325211
833,0.103010257477108,833,0.314068788625465
832,0.105408568347399,832,0.316277826079291
831,0.106835683199337,831,0.31941299341648
830,0.109369006879152,830,0.324105672128717
829,0.111047393975708,829,0.326493863966116
828,0.112379271195298,828,0.329226962321806
827,0.114453703996359,827,0.332621256552298
826,0.1163859485662,826,0.335055638864057
825,0.118918439842437,825,0.338699789145826
824,0.121133684447269,824,0.342306222523584
823,0.122689901216655,823,0.344449339686153
822,0.124422290841511,822,0.347894871979507
821,0.126905026904858,821,0.351794699484909
820,0.129416962811435,820,0.355001540277731
819,0.132130787324912,819,0.357797474292745
818,0.133721774281033,818,0.362152949239769
817,0.136634755625008,817,0.364651655028404
816,0.13837124314787,816,0.368327638705861
815,0.140491371500277,815,0.372005708718925
814,0.144119128377085,814,0.373685572486193
813,0.146773438019748,813,0.37849963216302
812,0.149009648620568,812,0.379552560459035
811,0.151727405295912,811,0.38395253952636
810,0.154149891957277,810,0.387038580374737
809,0.157090361537675,809,0.391685039100131
808,0.160926286160628,808,0.395049797442286
807,0.16374634723769,807,0.397828059817421
806,0.165661340529172,806,0.400953138206648
805,0.170217190705583,805,0.405961229469453
804,0.172498202997788,804,0.408380608946119
803,0.175208087131322,803,0.411311658835137
802,0.178974565790613,802,0.416922949584041
801,0.182508272295078,801,0.419165654780311
800,0.185509883628402,800,0.422984108505174
799,0.189948702994545,799,0.426296468717949
798,0.191672168980571,798,0.430255865100742
797,0.196129531453193,797,0.433821310835242
796,0.200939770160873,796,0.438435236281355
795,0.204152703752507,795,0.443196158913382
794,0.207503272935218,794,0.444673147813826
793,0.211856403533297,793,0.449899431590235
792,0.216366575767827,792,0.452091760266473
791,0.22085274783759,791,0.456504531162548
790,0.224498288581372,790,0.460057043518495
789,0.229203205322093,789,0.463695698338276
788,0.234010539106021,788,0.467445668897515
787,0.238240804588535,787,0.470548525399483
786,0.241770471855773,786,0.474653039621675
785,0.248363909309928,785,0.479837025241798
784,0.252594339217865,784,0.48291356580948
783,0.257000996702464,783,0.486672272753524
782,0.263172803552731,782,0.490291695050024
781,0.26746885727156,781,0.493796739586781
780,0.272885020797387,780,0.499368513707182
779,0.279610614036221,779,0.502699642085829
778,0.285144188703753,778,0.506980468713525
777,0.291072535789935,777,0.511045845496287
776,0.297463563000577,776,0.515007383722809
775,0.302389685627042,775,0.517704438086528
774,0.309914125765697,774,0.523415503134341
773,0.315697542313233,773,0.525761226833433
772,0.322136510237761,772,0.529078978146667
771,0.328099444563126,771,0.534476755116121
770,0.335184773851035,770,0.538611400559591
769,0.343100521066827,769,0.541821642555317
768,0.351655353340175,768,0.546804803836018
767,0.358774513697311,767,0.550723843884034
766,0.366842219711627,766,0.554699693328818
765,0.374412561020185,765,0.558811478413068
764,0.38188065348275,764,0.562820360186639
763,0.389492427743618,763,0.566576608324161
762,0.399605296537804,762,0.572268353331146
761,0.408005936390209,761,0.574806477064367
760,0.418126385546896,760,0.581116871012574
759,0.426273499772876,759,0.582624930511679
758,0.436188114403089,758,0.588489593531654
757,0.446685414081463,757,0.591891384987224
756,0.456645226138639,756,0.596946823168957
755,0.467236941020456,755,0.60124162727425
754,0.478337746537364,754,0.606864972411438
753,0.489979775944834,753,0.609810584126247
752,0.501099650089136,752,0.613948645371604
751,0.512527032865733,751,0.619190432500315
750,0.524807756920243,750,0.623423631142696
749,0.536954054685617,749,0.627410125407865
748,0.549573848655407,748,0.632378643174048
747,0.561562791336475,747,0.636305959928342
746,0.5754537897289,746,0.642317103124958
745,0.589800344280033,745,0.646629802434573
744,0.605220074314832,744,0.652039442785043
743,0.619775232002007,743,0.656716730912285
742,0.634033373153344,742,0.661212439224712
741,0.649016891855463,741,0.666335997878072
740,0.665659143840222,740,0.67108690320288
739,0.68122015635464,739,0.676999019332747
738,0.697788681939658,738,0.682310857031072
737,0.714203202920399,737,0.688595112109172
736,0.732347997136423,736,0.692791780358504
735,0.750724442200524,735,0.699466224039534
734,0.768907789526205,734,0.704331649864997
733,0.78554104856093,733,0.709915825810058
732,0.805229818685987,732,0.715088098169388
731,0.82398807142493,731,0.72249692867699
730,0.84414517522111,730,0.727638340518981
729,0.864651824903818,729,0.733846532479087
728,0.885366803153047,728,0.739935661304894
727,0.906020774724464,727,0.746567692623103
726,0.927093796256438,726,0.7527026318385
725,0.949352846985736,725,0.75891515093589
724,0.968801827672131,724,0.765577312487856
723,0.992205999392177,723,0.770406381080409
722,1.01490674139926,722,0.77824847601983
721,1.03660609145821,721,0.783818288205623
720,1.06006997725973,720,0.791716712183358
719,1.08281486158358,719,0.797880557138983
718,1.10672271711129,718,0.805430921262477
717,1.13037797427138,717,0.811769090968461
716,1.15203716070867,716,0.817101832429788
715,1.17518349122026,715,0.824425887968534
714,1.1976904179458,714,0.831705074589499
713,1.22028351384377,713,0.838785523334339
712,1.24399701043112,712,0.844451294949143
711,1.26617548234706,711,0.851817048210447
710,1.29085965717318,710,0.858089460892525
709,1.31419974223658,709,0.864219399901881
708,1.3345391120483,708,0.87095927182158
707,1.35701142530505,707,0.876595068707882
706,1.37860362177204,706,0.88312464289516
705,1.40083504184463,705,0.888666227074743
704,1.41916624090426,704,0.894893984736088
703,1.43973349400835,703,0.899629807424815
702,1.45598849058614,702,0.904619275484782
701,1.47340633467013,701,0.910432130115815
700,1.49099398243272,700,0.915414746012492
699,1.50559689646478,699,0.919281703146561
698,1.51905614513178,698,0.922485400641071
697,1.53489578441048,697,0.926042891788861
696,1.54800517211197,696,0.929407097605715
695,1.55997220909556,695,0.932010738443892
694,1.56965064628662,694,0.934144145714665
693,1.57584123726306,693,0.936367420291419
692,1.58101646211657,692,0.937705506339512
691,1.58728186079983,691,0.938520536572927
690,1.59030078961063,690,0.937867487046468
689,1.59562105980221,689,0.937611463564242
688,1.59330225640679,688,0.937031763418857
687,1.59318056474645,687,0.935187407575434
686,1.59461493767961,686,0.933323125864502
685,1.58419321196153,685,0.930383894970618
684,1.57901443267678,684,0.926536481870762
683,1.56981371342727,683,0.923365983127575
682,1.56099397695822,682,0.917839660800434
681,1.55055232633692,681,0.912893455507377
680,1.53799460989597,680,0.906984336852223
679,1.52413731366563,679,0.900320958309073
678,1.50624423541547,678,0.893403211803165
677,1.48947914742667,677,0.885427443458142
676,1.46926601462789,676,0.876962627966723
675,1.44902090529374,675,0.867558896431562
674,1.42694415744518,674,0.858217792250195
673,1.40335295846759,673,0.848160092025046
672,1.37893656059218,672,0.837622693970627
671,1.35507696495455,671,0.826553331506112
670,1.32879434869409,670,0.814900050363147
669,1.30276171383427,669,0.803118806794615
668,1.27608473509384,668,0.791240888728597
667,1.24607008883838,667,0.778175894524691
666,1.21777559092599,666,0.765293442548985
665,1.18768154777504,665,0.751370717615926
664,1.1585054009734,664,0.73845912972847
663,1.12844250250766,663,0.724083386020155
662,1.09853737194064,662,0.710107601552035
661,1.06810866370722,661,0.695351821860661
660,1.03937134698482,660,0.681969139202974
659,1.01204065813664,659,0.668782868978114
658,0.982665987029896,658,0.654369541805544
657,0.952238292955672,657,0.639370376972703
656,0.922911365631625,656,0.624828858232103
655,0.894599268804698,655,0.610463314891491
654,0.866616744819391,654,0.596382471155464
653,0.839584541972457,653,0.582169168386505
652,0.813481122148807,652,0.568712253283931
651,0.787363388398102,651,0.554303652826041
650,0.762215920650956,650,0.540809407516822
649,0.737276277707698,649,0.527653007948519
648,0.713316762585323,648,0.514652227792001
647,0.690224288237112,647,0.502028400298102
646,0.667884475000392,646,0.489040691116677
645,0.645893515591226,645,0.476553894422296
644,0.62470783682479,644,0.464136466866504
643,0.604543043150727,643,0.452335433792649
642,0.58517454184021,642,0.441214471438318
641,0.566169449751431,641,0.430057504236409
640,0.548201410863498,640,0.418993657333434
639,0.530683380786444,639,0.408619946988227
638,0.514107903139731,638,0.398199359954827
637,0.498393636927231,637,0.388059110954867
636,0.482710880396949,636,0.378819308219661
635,0.467987774348682,635,0.369367645598915
634,0.454239364906034,634,0.36104471606989
633,0.440234480547948,633,0.352498046756876
632,0.42759419931099,632,0.343925418747023
631,0.415425417575183,631,0.336513547380205
630,0.403457190969538,630,0.32886586675653
629,0.391998614066713,629,0.321557062154119
628,0.381044917218827,628,0.314441837577521
627,0.371170701925953,627,0.308296901840906
626,0.361632302710987,626,0.302312128707902
625,0.352391629998411,625,0.296520237500196
624,0.343032993224306,624,0.290515096717458
623,0.334300553950543,623,0.28523693587795
622,0.325990930736369,622,0.280027628579162
621,0.318014460862985,621,0.274477021432084
620,0.310032798496342,620,0.270010577876809
619,0.30344268222139,619,0.26553611654807
618,0.296533046967405,618,0.261320652706358
617,0.289665146704513,617,0.257962933927016
616,0.283018786611733,616,0.254364324603193
615,0.277362157720734,615,0.250979610920344
614,0.271109116892063,614,0.247570670464187
613,0.265502339872597,613,0.244092362121273
612,0.260482193212344,612,0.241038141718469
611,0.255321365028285,611,0.238458421529904
610,0.250819454754852,610,0.235924772053295
609,0.246394044818382,609,0.233837935493685
608,0.241887428638937,608,0.231357832513556
607,0.237231317030256,607,0.22902311485114
606,0.233430497633693,606,0.22729069588301
605,0.229644424390483,605,0.225419978020134
604,0.226413031900978,604,0.223927900812388
603,0.222810251639307,603,0.222331083119782
602,0.219195517173582,602,0.220679098202686
601,0.215773448541995,601,0.219232267324712
600,0.21287175336587,600,0.218153014941491
599,0.209843079470294,599,0.217051987682402
598,0.207140107108765,598,0.215986390690516
597,0.204611016686399,597,0.214990367668231
596,0.202222653498514,596,0.214150794062105
595,0.19990001579314,595,0.213369319348934
594,0.197360827576531,594,0.21244614367763
593,0.19510596258328,593,0.211925217307764
592,0.193019683808396,592,0.211189281502471
591,0.19122790527825,591,0.210795135497283
590,0.189246930589878,590,0.210445008828108
589,0.187535953442796,589,0.210150638285693
588,0.185996199080153,588,0.209726049392762
587,0.18442910969076,587,0.209429482265737
586,0.18272971691843,586,0.209599319862904
585,0.181954170311763,585,0.209472333784502
584,0.180443849590554,584,0.209597516300021
583,0.179127620702883,583,0.209737125825889
582,0.178146581234083,582,0.20941157980123
581,0.177226573006343,581,0.209799561914754
580,0.176260534501623,580,0.209903474122653
579,0.175684237678104,579,0.210182766941281
578,0.175195493540844,578,0.21097728941694
577,0.174291260125219,577,0.21153583798415
576,0.173589455511204,576,0.211581678771558
575,0.173367335271237,575,0.21203714731066
574,0.172932570989352,574,0.213202357449242
573,0.17257441906234,573,0.213457288866054
572,0.172884235028672,572,0.213995861063035
571,0.172618059647415,571,0.214702789324425
570,0.172532669950398,570,0.215721292784668
569,0.172528472152901,569,0.216835494512943
568,0.173213287991062,568,0.217784042950051
567,0.173307530814965,567,0.218783887899628
566,0.173896558317209,566,0.219781960860975
565,0.174594177615102,565,0.220668255472944
564,0.175389436571497,564,0.222364903163951
563,0.176022252546764,563,0.223541084813327
562,0.176556122060932,562,0.224963082060667
561,0.177889365706593,561,0.226211737949653
560,0.178680531176011,560,0.227713882344723
559,0.179724678815754,559,0.229176439285177
558,0.181525040244481,558,0.230462105302051
557,0.182716114803931,557,0.232298188586098
556,0.184177166632223,556,0.234326691129099
555,0.18575553409938,555,0.23564655578921
554,0.18779192736625,554,0.237768123486371
553,0.189406171900359,553,0.239097651718703
552,0.191621903031196,552,0.240952610015041
551,0.193670650841614,551,0.243486916760231
550,0.196176621166987,550,0.245298595994606
549,0.198463761289069,549,0.24751308843894
548,0.201402564549628,548,0.250031896087501
547,0.204229628748941,547,0.251948402379607
546,0.206859887643098,546,0.254215558381519
545,0.210174115069458,545,0.257010633604649
544,0.213457161913075,544,0.259309708325185
543,0.216688511312484,543,0.261801006997181
542,0.220390094341765,542,0.264414924009584
541,0.223306009080495,541,0.266733353408735
540,0.227216783277302,540,0.269736485139951
539,0.231910559907846,539,0.272679331145169
538,0.236592237238816,538,0.275763131071062
537,0.240741896069416,537,0.278438975223022
536,0.245167014425309,536,0.281772946014756
535,0.250313819141019,535,0.284837285889653
534,0.254879542383898,534,0.287551987661044
533,0.259402178966941,533,0.290565380476253
532,0.264722295655394,532,0.293819337384692
531,0.270667262941334,531,0.297103399780243
530,0.276192600556356,530,0.300516773191258
529,0.28071985484458,529,0.302970465318094
528,0.285410802833103,528,0.305511874762515
527,0.291598419839152,527,0.309071270178375
526,0.297204432965909,526,0.312018891264525
525,0.302757198200745,525,0.314748837823864
524,0.30836792643799,524,0.317533023443757
523,0.313675831410534,523,0.320162926836305
522,0.319187666473239,522,0.323042057929525
521,0.324588579443405,521,0.324961670551236
520,0.329489288580839,520,0.327076615108269
519,0.334154639305911,519,0.329091357519475
518,0.338012923397069,518,0.330432888745453
517,0.342177912556656,517,0.33203458139484
516,0.346322748198445,516,0.333221939114565
515,0.349427215252225,515,0.333947112546137
514,0.35233814007435,514,0.33418006326396
513,0.354732105923643,513,0.334518986619496
512,0.356665387812423,512,0.334299128656608
511,0.358275175779127,511,0.333839617484486
510,0.358975557463627,510,0.332964620900246
509,0.359523147417299,509,0.332017122372717
508,0.359260780475199,508,0.330503278129962
507,0.358973398070287,507,0.329195832994681
506,0.357941756538083,506,0.32667201778312
505,0.356042636931372,505,0.324791517000045
504,0.354067630023729,504,0.321947956077162
503,0.351934585140405,503,0.319330743363485
502,0.34938794878325,502,0.316690696451984
501,0.346430389455391,501,0.313482256494884
500,0.343477050047294,500,0.310763808921623
499,0.34031800998223,499,0.307712771776672
498,0.336948735220909,498,0.304620999396525
497,0.333984448874512,497,0.30199563134573
496,0.330538546365738,496,0.298992586390695
495,0.32687911836997,495,0.295564283578258
494,0.323724805572883,494,0.293067297495968
493,0.320402862064328,493,0.290231494180565
492,0.317784181368337,492,0.288211079509966
491,0.31501702296996,491,0.285975276465059
490,0.312056008792199,490,0.283478117657834
489,0.309459817325435,489,0.281158114111935
488,0.307408523166148,488,0.279612437418229
487,0.305265412464849,487,0.278011109402229
486,0.30305901077295,486,0.276279836504007
485,0.301058600600992,485,0.274784192356081
484,0.299591825414705,484,0.27368162847299
483,0.298293274319434,483,0.272867746881635
482,0.296760964925683,482,0.27156786846239
481,0.295481572085333,481,0.270656014768646
480,0.294482407264108,480,0.270036560126346
479,0.293595807589518,479,0.269280817929005
478,0.292720308805673,478,0.268707772340498
477,0.292006574345266,477,0.268209257125023
476,0.291294719676081,476,0.267971704360097
475,0.290765360246372,475,0.267765834440933
474,0.290489830694679,474,0.267641122440799
473,0.290175088755075,473,0.26743593623136
472,0.290096779670561,472,0.267545586877675
471,0.289641190876101,471,0.267277116494529
470,0.289655362480221,470,0.267512132827978
469,0.289656018117226,469,0.267461908663743
468,0.289699443664214,468,0.267732123667299
467,0.289603116436445,467,0.267722581547947
466,0.290015355217588,466,0.268210025183062
465,0.290130454380704,465,0.268269313762142
464,0.290316090801948,464,0.268522257256004
463,0.290451631259476,463,0.268895866833032
462,0.290899725974883,462,0.269235777910339
461,0.291080732811246,461,0.269597866262099
460,0.291266522849602,460,0.270108055489048
459,0.29168338451003,459,0.270298156373644
458,0.292156694069678,458,0.270821532299692
457,0.292429273698693,457,0.271101819850314
456,0.29276703882023,456,0.271659599537075
455,0.293296709165049,455,0.272186799761127
454,0.293893125944166,454,0.27269276591508
453,0.294378385317168,453,0.273386457778095
452,0.29484203579182,452,0.273570029004391
451,0.295357278873702,451,0.27418632269133
450,0.295913297067143,450,0.274752369007405
449,0.296547650220894,449,0.275363072608632
448,0.296987566372086,448,0.275750089428686
447,0.29759955518613,447,0.276489000305356
446,0.298067687605107,446,0.276940885476161
445,0.298679759656996,445,0.277396232136229
444,0.299473675708258,444,0.278325606227321
443,0.300142393337436,443,0.278783489920337
442,0.30066500161376,442,0.279312323123581
441,0.301411126648569,441,0.280034879831264
440,0.301986369583313,440,0.280625399849487
