10ul aunr-dna2-200ul h2o,,20uL-2M NaCl,,10uL BP 2,,20uL BP2,,10uL 2M NaCl,,20uL 2M NaCl,,20uL 2M NaCl,,30uL 2M NaCl,,10uL BP2,,30mins - rt,,50 p1,,50 p2,,50 p3,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1061,0.0272266545356997,1061,0.0185338209807097,1061,0.0129993692116458,1061,0.0140290807135073,1061,0.0108172616529364,1061,0.0108093531553423,1061,0.0112465269004691,1061,0.0131618618266457,1061,0.01584752267887,1061,0.0785392827867165,1061,0.0188807997586001,1061,0.0353300402441032,1061,0.0212234918971936
1060,0.0263119400632023,1060,0.0181825843952939,1060,0.0126450362232871,1060,0.0139275499411091,1060,0.010961471024653,1060,0.0122267143626943,1060,0.0120931301937666,1060,0.0124887576900648,1060,0.0152515035313563,1060,0.0804811429989283,1060,0.0177736210310686,1060,0.0350933637097622,1060,0.0202315977793904
1059,0.0266752384819734,1059,0.017528557107816,1059,0.0125333306423306,1059,0.0131312047332283,1059,0.0112224064879791,1059,0.0111362427394008,1059,0.011037244593309,1059,0.012548597863658,1059,0.015465589935145,1059,0.0784505204052644,1059,0.017467460943705,1059,0.0346431053535517,1059,0.0207773588212013
1058,0.0279960049687846,1058,0.0196927516252885,1058,0.0138117194345205,1058,0.0141715257803828,1058,0.0127070836037293,1058,0.012531705367655,1058,0.0108522943137638,1058,0.0130475957759731,1058,0.0147121027894548,1058,0.0806646610838228,1058,0.0172527358352713,1058,0.0352423557911433,1058,0.0212949603247836
1057,0.0281207907646043,1057,0.0210920304943793,1057,0.0152418516140211,1057,0.0153512525731207,1057,0.0125798800249639,1057,0.0125631728322321,1057,0.0121199342436848,1057,0.015427500958444,1057,0.016958731992439,1057,0.0813301708546348,1057,0.0191202440290102,1057,0.035378480650159,1057,0.0216796618958839
1056,0.0261583642786129,1056,0.0183160030165731,1056,0.0121450894993531,1056,0.0134120554963766,1056,0.0104477065712191,1056,0.0106427774007363,1056,0.0103483615420612,1056,0.011547453971298,1056,0.0140883045910304,1056,0.0793375011498333,1056,0.0170097422911312,1056,0.0331835680326512,1056,0.0189299813417756
1055,0.0278162207350965,1055,0.0194838004077088,1055,0.0144319089141856,1055,0.0157870115027953,1055,0.0121948452959684,1055,0.0126849875365599,1055,0.0107554040592773,1055,0.0132944406474899,1055,0.015989276402201,1055,0.0818819426523568,1055,0.0180053592257687,1055,0.0354098504504552,1055,0.0207390183628439
1054,0.0268002785790781,1054,0.0189134606835555,1054,0.0123627632690758,1054,0.0143147399249001,1054,0.0115952802891271,1054,0.0124230389145856,1054,0.00974726159716797,1054,0.0138063482569958,1054,0.0150991891226532,1054,0.0800099419276543,1054,0.0163792505188305,1054,0.0343245432650547,1054,0.0203346403838006
1053,0.0271087105321559,1053,0.0194024514454809,1053,0.0124140356574702,1053,0.0145509029730048,1053,0.0119471610062024,1053,0.0116059681574035,1053,0.010029428588135,1053,0.0120187955416299,1053,0.0159467373705662,1053,0.0818500930058092,1053,0.0166749334331882,1053,0.0346660389565996,1053,0.0201672458496135
1052,0.0280278676384012,1052,0.0194368300130257,1052,0.0134727439750014,1052,0.0145048912825947,1052,0.0126777379259217,1052,0.012454445228151,1052,0.0119675964001372,1052,0.0130870239040939,1052,0.0156239900717445,1052,0.0816875680348438,1052,0.016709150562303,1052,0.034493590006842,1052,0.0204931713859995
1051,0.0278362022859678,1051,0.0195663019220243,1051,0.0135474347508292,1051,0.0147075505702838,1051,0.0120622556820837,1051,0.0125929371301865,1051,0.0111117300985166,1051,0.0135451380250082,1051,0.0160841448554952,1051,0.0825920552596199,1051,0.0175669655807794,1051,0.0349890323187354,1051,0.0209286357174895
1050,0.027784070031174,1050,0.0205701379849311,1050,0.0145151424471775,1050,0.015266705736154,1050,0.0129682168446077,1050,0.0133982529214727,1050,0.0116862685143973,1050,0.0123446795433703,1050,0.0163060868956287,1050,0.0825896445439523,1050,0.0163976643197827,1050,0.0351111850521894,1050,0.0210983621244454
1049,0.028042170706101,1049,0.0190013978324546,1049,0.0131168241269858,1049,0.015331837254304,1049,0.0127279279689594,1049,0.012090468511478,1049,0.00994747401824532,1049,0.0124346528591975,1049,0.0156397151886927,1049,0.0824308798538476,1049,0.0165997297842321,1049,0.0336143863847647,1049,0.0201531726780385
1048,0.028574342038529,1048,0.0197377721649424,1048,0.0148103084520141,1048,0.0158167828068759,1048,0.0124365974261495,1048,0.0134092255323098,1048,0.0115475071382657,1048,0.0133987868620552,1048,0.0170614316601615,1048,0.0831772216742755,1048,0.0175926270288562,1048,0.0353806149604354,1048,0.0211703263638861
1047,0.0284066989171883,1047,0.0202832109582074,1047,0.0141709106552531,1047,0.0144465472251847,1047,0.0117477269297518,1047,0.0119774153103195,1047,0.0111401733890796,1047,0.0132816560229808,1047,0.0152150686669124,1047,0.0819675638306473,1047,0.0165492247720348,1047,0.0347474658337351,1047,0.021175735034358
1046,0.027687356297455,1046,0.019334054310604,1046,0.0135713908593166,1046,0.0141042416048113,1046,0.0111240260823775,1046,0.0109820724803344,1046,0.0105922176634135,1046,0.0128344311004559,1046,0.0167380704425342,1046,0.082178797403599,1046,0.0171085766520543,1046,0.0332897023937468,1046,0.0201428417961043
1045,0.0298387648359155,1045,0.0205907117627668,1045,0.0144438175575556,1045,0.0158949119841663,1045,0.0129301329111604,1045,0.0138403935608151,1045,0.0128904256993738,1045,0.0129413870592683,1045,0.016571572112086,1045,0.0841569567679099,1045,0.0166963457234823,1045,0.0361097021956059,1045,0.0206673970275291
1044,0.0270798632180214,1044,0.0202861674426805,1044,0.0144246033237957,1044,0.0145758782003163,1044,0.0124249567922864,1044,0.0135785218625453,1044,0.00978978015025637,1044,0.0133752140106091,1044,0.016273540839261,1044,0.0840797619884758,1044,0.0173353264305544,1044,0.034939513144083,1044,0.0213582016127776
1043,0.0290594479754997,1043,0.0193919218617282,1043,0.0143957300501656,1043,0.0156161008930853,1043,0.0126967417580339,1043,0.0133788179310896,1043,0.0120654494953021,1043,0.0137977438224926,1043,0.0164188747602828,1043,0.0844741114345698,1043,0.0174030053187826,1043,0.0358421531024891,1043,0.021465074760999
1042,0.0296035647795302,1042,0.0212650014160006,1042,0.0136452171005627,1042,0.0147652333931996,1042,0.0127970253980369,1042,0.0133783907982112,1042,0.0103883142302112,1042,0.0125125755425266,1042,0.0160568532790668,1042,0.0846397588508346,1042,0.0177460612887744,1042,0.034506538119069,1042,0.0202534573680145
1041,0.0288877442198706,1041,0.020249117908053,1041,0.0143775079618885,1041,0.0152937331920214,1041,0.0126502064997562,1041,0.0137676563638796,1041,0.0110818281434242,1041,0.0127848419125843,1041,0.0164055139438111,1041,0.0843321332989187,1041,0.0160812437009451,1041,0.0340437567426404,1041,0.0202154614440498
1040,0.0289503023847883,1040,0.0204850304419308,1040,0.0143746716997311,1040,0.0168468533388113,1040,0.0129337331400861,1040,0.0147997824848427,1040,0.0121999037218492,1040,0.0138500411062954,1040,0.016737989733212,1040,0.0852795741149134,1040,0.0166615378386491,1040,0.0349062136222247,1040,0.020273283827317
1039,0.0290333490572789,1039,0.0210925196298926,1039,0.0147852929575192,1039,0.015279602556374,1039,0.0126813094101565,1039,0.0141125579633424,1039,0.0120660350302732,1039,0.0133875208549662,1039,0.0170058119970413,1039,0.08615963488036,1039,0.0166801519091581,1039,0.0345906261633049,1039,0.0206609359412737
1038,0.028942222716533,1038,0.0205529034463192,1038,0.0148182097909275,1038,0.015963091846143,1038,0.0122952527594201,1038,0.0135123442416584,1038,0.0108463226376896,1038,0.0127779372005778,1038,0.0164728598703134,1038,0.0861740293639895,1038,0.0162702353068876,1038,0.0346819081487976,1038,0.0198208367442137
1037,0.029454416659434,1037,0.0212903929529037,1037,0.0146324458421091,1037,0.0161798938295433,1037,0.0132633204856932,1037,0.0143397015743465,1037,0.0116666174853899,1037,0.0143299093736449,1037,0.0170349939330275,1037,0.086628521596126,1037,0.0161180199553628,1037,0.03466519784952,1037,0.0205753763345585
1036,0.0288172283712703,1036,0.0207899043803546,1036,0.0145635644039227,1036,0.0157162557991174,1036,0.0131166640487056,1036,0.0133826621458995,1036,0.0118086886531517,1036,0.0136226191686133,1036,0.0164206759480692,1036,0.0855519664839075,1036,0.0161896203553403,1036,0.0341210347459937,1036,0.0199292834985391
1035,0.0288164261775821,1035,0.0211368430289015,1035,0.0147829628938094,1035,0.0155574732219049,1035,0.0128241128835702,1035,0.0142012935289843,1035,0.0112255675670821,1035,0.013856294754415,1035,0.0163736862099621,1035,0.0874414128343389,1035,0.0164580186732294,1035,0.0346069971959354,1035,0.0202283975845524
1034,0.0293160647533586,1034,0.0200232546449796,1034,0.0145374388964802,1034,0.0161927640580493,1034,0.0129210658001742,1034,0.0145975620383319,1034,0.0118169611694086,1034,0.0137715307420685,1034,0.0172040939301823,1034,0.0875926772240362,1034,0.0174082864399592,1034,0.0348693542813849,1034,0.0207381766485417
1033,0.0293522618857428,1033,0.0201436552424615,1033,0.0151598993928321,1033,0.0158263132768283,1033,0.0129187990520057,1033,0.0151072565327399,1033,0.0117243499000411,1033,0.0135386752105488,1033,0.0174329145571535,1033,0.0881615379416444,1033,0.0168962357200829,1033,0.0341785821914184,1033,0.0200883172492133
1032,0.0303644266623814,1032,0.0213338664931966,1032,0.0152914808397882,1032,0.0165376347272193,1032,0.0135401974350481,1032,0.0152469724656717,1032,0.0118312189949084,1032,0.0138644994635207,1032,0.0176677871361382,1032,0.089339814925913,1032,0.0173029994736495,1032,0.0342844277919261,1032,0.0204354011205974
1031,0.0301428980656546,1031,0.0219384336982013,1031,0.0159031015949379,1031,0.0165731050042693,1031,0.013342112732448,1031,0.0154029594790192,1031,0.0123975479278784,1031,0.0142788918342197,1031,0.0179215081075777,1031,0.0892070454216013,1031,0.0164064548329257,1031,0.0349975058537305,1031,0.0206008632998422
1030,0.0296518694940065,1030,0.0210622486144076,1030,0.0144154246792964,1030,0.016152730570014,1030,0.0132204605172808,1030,0.0147323741329742,1030,0.0118858605931954,1030,0.0132121879095138,1030,0.0174238607324753,1030,0.0888014850985092,1030,0.0163049043372556,1030,0.03472335022247,1030,0.0201847362648873
1029,0.0303826657593006,1029,0.0212884898954637,1029,0.0153715001353919,1029,0.0162308664694012,1029,0.0131713875783292,1029,0.0155799574068659,1029,0.011722381925386,1029,0.0136389397792943,1029,0.0174901789810907,1029,0.0884121046365412,1029,0.0169890413473012,1029,0.0348784145447522,1029,0.0206672069942084
1028,0.0295755211338884,1028,0.0213678000852033,1028,0.0142521949547977,1028,0.0164433124075613,1028,0.0129768048596787,1028,0.0155343194842924,1028,0.0123777315173579,1028,0.0139214289128132,1028,0.0173543196399105,1028,0.0895544112281116,1028,0.0158508518436216,1028,0.0338129845688941,1028,0.0203564237750905
1027,0.0293753886416199,1027,0.021312686532517,1027,0.0159401581575554,1027,0.0164448717320558,1027,0.0144149697661014,1027,0.0166848324512569,1027,0.0124196027382191,1027,0.0140113552270934,1027,0.0184755814491999,1027,0.0896740803193935,1027,0.0166395086328426,1027,0.0344877326543176,1027,0.0209664767595904
1026,0.0295312424634327,1026,0.0203400386566451,1026,0.0158860244173791,1026,0.0164853354718035,1026,0.0132046359567856,1026,0.0155306439755147,1026,0.0121740531220884,1026,0.0146296882329866,1026,0.0172524395502554,1026,0.0906393195997637,1026,0.0170197027847587,1026,0.034842483156763,1026,0.0208789556798389
1025,0.0298799414111144,1025,0.0219060889989547,1025,0.0161180468200909,1025,0.0166529842414201,1025,0.0143686781500634,1025,0.0164982147553284,1025,0.0125707402848775,1025,0.0140497212564294,1025,0.0186001198228337,1025,0.0914606546655655,1025,0.0169866186745491,1025,0.0349559534450838,1025,0.0215176235710879
1024,0.0306191771047477,1024,0.0226162114733226,1024,0.0159579356888449,1024,0.0173115120055752,1024,0.0144342906167363,1024,0.0166611343632958,1024,0.0124354253573552,1024,0.0143675811253742,1024,0.0182127093398824,1024,0.0915391727118787,1024,0.0175802813110011,1024,0.0353285800954602,1024,0.0210916772301846
1023,0.0306230103322505,1023,0.0223158303682446,1023,0.0158418309401818,1023,0.0176591597771989,1023,0.0139761737500271,1023,0.0170932559877029,1023,0.0134939188538425,1023,0.014285124909107,1023,0.0183546972240269,1023,0.0921108295931441,1023,0.0181883608804457,1023,0.0356971144524894,1023,0.0223258042982951
1022,0.0309800654564543,1022,0.0223708260898949,1022,0.0160209148232443,1022,0.0170843438639374,1022,0.014994487198325,1022,0.016889103857623,1022,0.0148604776993501,1022,0.01520895627384,1022,0.0192831491499497,1022,0.093420430212304,1022,0.0184784986425231,1022,0.036227837324213,1022,0.0221580765316465
1021,0.0299028189732756,1021,0.0211956580046098,1021,0.01557324959262,1021,0.0163723153042303,1021,0.0135619097442209,1021,0.0165320146080284,1021,0.0133955031378687,1021,0.0143399691239125,1021,0.0181043664737633,1021,0.0917184080992438,1021,0.0178383204877541,1021,0.035247240722461,1021,0.0215971932661304
1020,0.0315748361115571,1020,0.0225042291851482,1020,0.0173128858792134,1020,0.0184069520263398,1020,0.0154145461030498,1020,0.0184661547269665,1020,0.0143532397892229,1020,0.015882426481335,1020,0.0196524754708691,1020,0.0939728757703696,1020,0.0188922632472007,1020,0.0366025430034107,1020,0.022781170044417
1019,0.0306790404246487,1019,0.0217063838938115,1019,0.0159263555610861,1019,0.0168460191342783,1019,0.0139208408709688,1019,0.017255617890971,1019,0.0127805497813999,1019,0.0147385869402354,1019,0.0183070387653331,1019,0.0929470106587127,1019,0.0180440527486809,1019,0.0355663682126967,1019,0.0219552332003953
1018,0.0312731204961181,1018,0.0227082837962226,1018,0.0164235524873389,1018,0.0180985641181719,1018,0.0148661565911408,1018,0.0176452485218911,1018,0.0135628444928499,1018,0.0151410823220601,1018,0.0190188684021253,1018,0.0943859665907642,1018,0.0192909428546959,1018,0.0362473373523169,1018,0.0224702066854783
1017,0.0307314658023903,1017,0.0228544777969637,1017,0.0167842117270558,1017,0.0181886038184207,1017,0.0147299372371521,1017,0.0184814428667638,1017,0.0140527692953762,1017,0.0153300673927179,1017,0.0197647813108095,1017,0.0948243102767475,1017,0.0196619279786611,1017,0.0369881987157184,1017,0.0236301915402991
