22ulnp+25ul2Mnacl+100ulh2o-3,,22ulnp+25ul2Mnacl+100ulh2o-3_C1,,22ulnp+25ul2Mnacl+100ulh2o-3_C2,,22ulnp+25ul2Mnacl+100ulh2o-3_C3,,22ulnp+25ul2Mnacl+100ulh2o-3_C4,,22ulnp+25ul2Mnacl+100ulh2o-3_C5,,22ulnp+25ul2Mnacl+100ulh2o-3_C6,,22ulnp+25ul2Mnacl+100ulh2o-3_C7,,22ulnp+25ul2Mnacl+100ulh2o-3_C8,,22ulnp+25ul2Mnacl+100ulh2o-3_C9,,22ulnp+25ul2Mnacl+100ulh2o-3_C10,,22ulnp+25ul2Mnacl+100ulh2o-3_C11,,22ulnp+25ul2Mnacl+100ulh2o-3_C12,,22ulnp+25ul2Mnacl+100ulh2o-3_C13,,22ulnp+25ul2Mnacl+100ulh2o-3_C14,,22ulnp+25ul2Mnacl+100ulh2o-3_C15,,22ulnp+25ul2Mnacl+100ulh2o-3_C16,,22ulnp+25ul2Mnacl+100ulh2o-3_C17,,22ulnp+25ul2Mnacl+100ulh2o-3_C18,,22ulnp+25ul2Mnacl+100ulh2o-3_C19,,22ulnp+25ul2Mnacl+100ulh2o-3_C20,,22ulnp+25ul2Mnacl+100ulh2o-3_C21,,22ulnp+25ul2Mnacl+100ulh2o-3_C22,,22ulnp+25ul2Mnacl+100ulh2o-3_C23,,22ulnp+25ul2Mnacl+100ulh2o-3_C24,,22ulnp+25ul2Mnacl+100ulh2o-3_C25,,22ulnp+25ul2Mnacl+100ulh2o-3_C26,,22ulnp+25ul2Mnacl+100ulh2o-3_C27,,22ulnp+25ul2Mnacl+100ulh2o-3_C28,,22ulnp+25ul2Mnacl+100ulh2o-3_C29,,22ulnp+25ul2Mnacl+100ulh2o-3_C30,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1100,0.00407531479570758,1100,0.00965310549678481,1100,0.0176545765624701,1100,0.0237534282603911,1100,0.0252932781362218,1100,0.026740617133194,1100,0.0248447833277928,1100,0.0345190381780499,1100,0.0283586153897173,1100,0.0315465813812504,1100,0.0310645300082666,1100,0.0309101819300388,1100,0.0326821978582058,1100,0.0326703645397274,1100,0.0332913233933996,1100,0.0361181694936468,1100,0.0337430633975719,1100,0.0318135854076543,1100,0.0347962900256653,1100,0.0347168168048431,1100,0.0332890036888659,1100,0.0336914481468378,1100,0.0333728563016431,1100,0.034022283738912,1100,0.0336610134106618,1100,0.0359858903354877,1100,0.0354474017048012,1100,0.0355335543603675,1100,0.0353522238754119,1100,0.0374182952724456,1100,0.0347792668380797
1099,0.00533218271487023,1099,0.0104589230902505,1099,0.011221131437374,1099,0.0203849907000329,1099,0.0217630987546786,1099,0.0270284552765487,1099,0.025434608535475,1099,0.0331757165734631,1099,0.0297061944669158,1099,0.0270206316646436,1099,0.0255629159885092,1099,0.0320256292866529,1099,0.0351723164098577,1099,0.0319650785410543,1099,0.0317134083321442,1099,0.0308311109117187,1099,0.0282226562479566,1099,0.0301630701980697,1099,0.0324911180390945,1099,0.032394521909388,1099,0.0316365296747119,1099,0.0359915429476604,1099,0.0306213159304139,1099,0.0353349542419438,1099,0.0328051829861149,1099,0.0381387462174599,1099,0.036404607676842,1099,0.035433498655447,1099,0.0372199878917886,1099,0.0372620959548672,1099,0.0375703734610781
1098,0.00506242589978172,1098,0.00876070892932022,1098,0.0182871668681037,1098,0.0214868877291297,1098,0.0230927111141074,1098,0.0293144862171562,1098,0.0239540497603772,1098,0.0337463647442825,1098,0.0313215556322073,1098,0.0323564528142722,1098,0.0306596776963016,1098,0.0298685169464021,1098,0.0334555787914386,1098,0.032880705185359,1098,0.0317288358231591,1098,0.0358433057353622,1098,0.0347173215288819,1098,0.0352982831188549,1098,0.0353156916886185,1098,0.0345046323120887,1098,0.0342848199643703,1098,0.0356319190581397,1098,0.0347259019272888,1098,0.0363551238644558,1098,0.0357841599390451,1098,0.0346301531691119,1098,0.0352939310854458,1098,0.0380262779517366,1098,0.0341293233483595,1098,0.0393146801654348,1098,0.0392480894528909
1097,0.00793910382815281,1097,0.0103631014556806,1097,0.0192595523967077,1097,0.0198408873268539,1097,0.023447232570767,1097,0.0238841936452896,1097,0.0306091497638299,1097,0.0317313699941233,1097,0.0278828478817895,1097,0.0287524767448809,1097,0.0257603649903033,1097,0.0319837472218878,1097,0.0337632075986208,1097,0.0353746333015509,1097,0.0318585430998738,1097,0.0339410206918397,1097,0.0350210193763401,1097,0.0320711105939644,1097,0.0342833913378854,1097,0.0345999329075327,1097,0.0370682578672419,1097,0.0392024736238062,1097,0.033935086817706,1097,0.0368207705768292,1097,0.0367305873506159,1097,0.0361469764214967,1097,0.0353514937631839,1097,0.0362310169227316,1097,0.0406762738849846,1097,0.0384641639269595,1097,0.0364518449259163
1096,0.00723460935895472,1096,0.00962902048458573,1096,0.0198262557293185,1096,0.0213255194534058,1096,0.025794865989271,1096,0.029709853331787,1096,0.0303669528842913,1096,0.0348795926733804,1096,0.0339521889106932,1096,0.0320429907677585,1096,0.032347779663011,1096,0.0320347140200535,1096,0.035335178883174,1096,0.0351559801908034,1096,0.0349752281058479,1096,0.0365342549777119,1096,0.0348300859749844,1096,0.037231579188442,1096,0.0371776865141423,1096,0.0383985518542141,1096,0.0361193509902191,1096,0.0374545532826771,1096,0.0388746622840884,1096,0.0368587821760226,1096,0.03786378732161,1096,0.0387755887661622,1096,0.039600484415646,1096,0.0396005411302526,1096,0.03755659985291,1096,0.0385684849052571,1096,0.0415450093741837
1095,0.00893441209370346,1095,0.0105842602135863,1095,0.0160744744156944,1095,0.0198811809590534,1095,0.0248305577654342,1095,0.0264614433199468,1095,0.0268116776835671,1095,0.0324445327589281,1095,0.0304790930749927,1095,0.0324854550106921,1095,0.0290342623545521,1095,0.03264775933232,1095,0.0352851990725291,1095,0.0323631181511114,1095,0.0325120690964556,1095,0.0335306828754966,1095,0.0331307340809308,1095,0.0351618465630159,1095,0.0342322440033579,1095,0.038235921904737,1095,0.0362887320888389,1095,0.036021016465708,1095,0.0377708175972101,1095,0.0370866397274856,1095,0.0377059030926874,1095,0.0380023186274408,1095,0.0384728186730878,1095,0.0380905338917335,1095,0.0361115025375168,1095,0.0389742114711157,1095,0.0376333481232008
1094,0.0059295078844283,1094,0.00653651151336539,1094,0.0160763278999756,1094,0.0204911089990691,1094,0.0221596020283786,1094,0.0265879354794402,1094,0.0263878818362157,1094,0.0314440446782423,1094,0.0277363865030492,1094,0.0296045347008585,1094,0.029629614847375,1094,0.0291909074103754,1094,0.0295010147501293,1094,0.030435333021785,1094,0.0343955107855236,1094,0.0310089227942309,1094,0.0308551781053368,1094,0.0325012726197708,1094,0.0322620614322852,1094,0.0348117432827907,1094,0.0341013779498459,1094,0.0347616554121644,1094,0.0348613039892393,1094,0.0356624922313147,1094,0.0350764972545341,1094,0.0329753428483931,1094,0.0354416999963812,1094,0.0337009314646097,1094,0.0311141932690865,1094,0.0354702373759628,1094,0.0350556185567122
1093,0.0055680723123751,1093,0.00611373827703058,1093,0.017432941503342,1093,0.0218772312839079,1093,0.0257050207846539,1093,0.0238772195913439,1093,0.02489733149648,1093,0.033607729785227,1093,0.0267936980728479,1093,0.031722124518746,1093,0.0278603248857505,1093,0.0299014878820944,1093,0.0330604757207539,1093,0.0315262335466039,1093,0.032889472753551,1093,0.0350351337131556,1093,0.035818932418649,1093,0.0333577895890652,1093,0.0339995520678768,1093,0.0341316475456641,1093,0.0349681578252639,1093,0.0348526928663069,1093,0.0345969334230039,1093,0.0348458489685538,1093,0.0349482943195752,1093,0.035516979812354,1093,0.0349326959321818,1093,0.0351413847760247,1093,0.0381828654677636,1093,0.0385123328915963,1093,0.0358948681009002
1092,0.00621135772510399,1092,0.0112688155649859,1092,0.015093909204496,1092,0.0204607713335373,1092,0.0234098850748359,1092,0.024142367134577,1092,0.0266148511164935,1092,0.0326260482778908,1092,0.0290782966319854,1092,0.0299509351123298,1092,0.0289157711556468,1092,0.0319914378372292,1092,0.0304974758338082,1092,0.0326151931576761,1092,0.0342125261578492,1092,0.0337214653755308,1092,0.0310992881329943,1092,0.0348759460951324,1092,0.0353194542776637,1092,0.03389052937199,1092,0.0364415130981301,1092,0.037326041457263,1092,0.0366730387728984,1092,0.0366260027701499,1092,0.0351384938193753,1092,0.0371736539979209,1092,0.0368121486903283,1092,0.0359091233355481,1092,0.035732329656466,1092,0.0383145432799819,1092,0.0377821694555252
