Wavelength (nm),Au@BSPP@10C,Au@BSPP@25C,Au@BSPP@40C,Au@BSPP@60C,Au@BSPP@70C,Au@BSPP@80C
1100,0.705260388707985,0.560716341668434,0.175714652124991,0.0300181124947618,0.0206049348386019,0.0176649562650945
1099,0.727700113449262,0.563859396226653,0.184062343020108,0.0294946979502448,0.0198252261169455,0.0177923637335925
1098,0.722428104347258,0.561244560794183,0.18498741085925,0.0317729213676093,0.0204539063061309,0.0188992117826294
1097,0.725507979678095,0.576468228102451,0.184056331734804,0.0291223076933083,0.0194790354560269,0.018860009439281
1096,0.715703198617257,0.574321637082361,0.183956327227799,0.0311369968926296,0.0172381103707709,0.0186010114410255
1095,0.731868572930577,0.576619123883926,0.185590362613049,0.029778019185768,0.0173605700691812,0.0170021240137012
1094,0.724298912606793,0.578120389191825,0.185065176850419,0.0297881936977144,0.017504543430549,0.0152298674485194
1093,0.727481061439688,0.583437294006717,0.187775054522932,0.0305798468118626,0.0152470797092837,0.0139044294788721
1092,0.734060400231835,0.582962000292749,0.185911037675896,0.0269210031304825,0.0157139475750326,0.0176850962918618
1091,0.730005325767389,0.584348139624081,0.189702472858808,0.0302284210226892,0.017310461399255,0.0155486998759589
1090,0.727561197188853,0.585345431238849,0.187217622211081,0.0297388204333883,0.0164319671461767,0.0133509216972048
1089,0.739540860035085,0.586256547665909,0.188539697217837,0.0310184589256222,0.0160983554202356,0.0157550143243313
1088,0.736433961211793,0.59010414721309,0.190318069421817,0.0299711260656729,0.0165658977688075,0.0162279105915108
1087,0.742667533408731,0.587228115036897,0.188793145051538,0.0291368959915162,0.0184689097936781,0.0140029071352011
1086,0.743162868122168,0.595667717346405,0.188474330793593,0.0282761672948451,0.0148334771919968,0.0160421068712643
1085,0.749097078218587,0.595772668907649,0.191582628003642,0.0294753325442526,0.017647971426325,0.0123863344984956
1084,0.745162003952843,0.597697103562279,0.192370618230521,0.0295469528391669,0.0162898538756056,0.0136002360878589
1083,0.756789259679939,0.60086410269441,0.194696269291718,0.0301589080582685,0.0156923689572594,0.0143607582291542
1082,0.757025790803427,0.603791767974392,0.193205315197819,0.0308838047951,0.0148683263760069,0.01409271662523
1081,0.758376672840744,0.602183484953182,0.19372839288442,0.0292599886962532,0.0152146397242409,0.0131011367359641
1080,0.757811516066703,0.607488150104566,0.195814999047598,0.0312196561589762,0.0159500135872797,0.0149024818254218
1079,0.753908411714348,0.6104186360033,0.192168419683054,0.0296047563974663,0.0140012496174688,0.0138638045961554
1078,0.763329618611464,0.610883648069439,0.198573337873181,0.0274925593788142,0.0143924387794076,0.0132742096197257
1077,0.769654630271166,0.611451382882607,0.198286575583385,0.0282775762963704,0.0155173909393908,0.0123236405156106
1076,0.768930178732754,0.614413672690743,0.198153539678634,0.0284635217179064,0.0141505317848308,0.0122132422747093
1075,0.769480730825778,0.619591728797883,0.197238103329845,0.0297023138863424,0.0151025393578168,0.0125342631797266
1074,0.773283876355046,0.617351847558978,0.199999493533573,0.0296726285921468,0.0157079891928239,0.0136203487558213
1073,0.782444387375707,0.624582050675885,0.198649076356544,0.0294657748295189,0.0120896433932808,0.0118016930469401
1072,0.781325700939165,0.627837853695752,0.198741395381615,0.0278893621033155,0.0125133481793013,0.0146357924786412
1071,0.785939067099385,0.62463369139359,0.200451758335669,0.0291581841598258,0.015745324368742,0.0107548998937255
1070,0.790971777277664,0.627510629360112,0.201477768928539,0.0276645399630715,0.0135491439500206,0.0118040869679419
1069,0.792359163702773,0.627288053447843,0.199946121405546,0.0293117168692601,0.014537572732165,0.0123589280714032
1068,0.794038469644586,0.633191064725214,0.203109328793538,0.0281856140005392,0.0137579304909208,0.0110060202459665
1067,0.79543259214228,0.637329860667439,0.204624700155431,0.0282689013399399,0.0134299968296888,0.0108267891953186
1066,0.79871727644409,0.633565349154026,0.204310669491983,0.0282397834856404,0.01480947815017,0.0110352000733109
1065,0.802125911759295,0.639363071119997,0.204897381325399,0.0301064962582601,0.0125638123301718,0.0110051971855457
1064,0.79979487284069,0.638053502864299,0.204651073148315,0.0285599937883305,0.0136639427553692,0.0119131307588663
1063,0.807052523668511,0.645904253867579,0.206054175499609,0.0280051714591706,0.0143172547527795,0.0108221979022841
1062,0.803304450993692,0.643374479427614,0.205686108496457,0.0294651653591918,0.0134506623196067,0.0106125628730674
1061,0.804977094762588,0.643139698501545,0.207772087664228,0.0271355482449882,0.0133791115851872,0.0100755778829392
1060,0.809903381642856,0.649676974767471,0.206253580065643,0.0277630146796903,0.0123459046320847,0.00993507887514885
1059,0.812605073602188,0.65004050772838,0.20936860851288,0.0289191466835702,0.0132739961046694,0.0106703675676001
1058,0.819181364976022,0.649935028716049,0.207703302352613,0.0291346260533409,0.0119313295586556,0.0109160503913403
1057,0.82362959010929,0.65621412546529,0.208889211584804,0.0283899519810214,0.0123954437231001,0.0108216671200922
1056,0.819758132616472,0.657556789736874,0.21217290219939,0.0286942057689332,0.0131910534465061,0.00974080210652371
1055,0.827596737736903,0.65746779063231,0.210597040456272,0.0282020215861173,0.0119144876606103,0.0094533197157599
1054,0.822343376207548,0.662298784813337,0.212096708867345,0.028331674360935,0.0112201485884208,0.00918178489963624
1053,0.833941233637119,0.665989311309109,0.212618981473669,0.028171748140455,0.011578398246991,0.00984331814681991
1052,0.835442814769017,0.666577626957091,0.21409137394373,0.028386608198173,0.0124000516784922,0.00960231679627767
1051,0.834481719512262,0.668881463496464,0.215029057113656,0.0279182356343716,0.0114793524296236,0.00951406603828044
1050,0.838576269743469,0.668532136449976,0.215908504053576,0.0275383406611613,0.0109395697755789,0.00856244201344322
1049,0.843364033641974,0.674540510814616,0.215463541338856,0.027888451210531,0.0107530159118432,0.0090508254862158
1048,0.849270602031194,0.673045458657647,0.216044197563755,0.028516399026944,0.0108367946667783,0.00860114818174029
1047,0.846064356715744,0.679693924558223,0.217727414324357,0.0276194901892399,0.0110964070810339,0.00785664654254042
1046,0.851877735342064,0.679695348384134,0.217559794135735,0.0278866846360308,0.0118547613917557,0.00875706388856799
1045,0.855732567234371,0.683508116954701,0.216699212500603,0.027267832251898,0.0104683367045101,0.00797991648632026
1044,0.854753673191415,0.68381245581091,0.218705455151769,0.0277519768953998,0.00888856884518722,0.00801772698352151
1043,0.858184503683071,0.685549072283026,0.219464418315193,0.0281874922785803,0.00829090937502851,0.00721871188893702
1042,0.864332271977086,0.692267462916526,0.21977156988007,0.0279485742327371,0.00971626221257174,0.00620232477317206
