Wavelength (nm),Au@Cit.
1100,0.0454319211219701
1099,0.0457210331426789
1098,0.0431554604639271
1097,0.0437983904785846
1096,0.0459998335698451
1095,0.0468684807829665
1094,0.0451286409140861
1093,0.0426637842788267
1092,0.0430497461186511
1091,0.0447555773843377
1090,0.0420761722099761
1089,0.0418181766858297
1088,0.0453228928452511
1087,0.0425103691000949
1086,0.0444913397640011
1085,0.0406863658117028
1084,0.0418650657903434
1083,0.0417259239691388
1082,0.0414077924720951
1081,0.0427031390230763
1080,0.043178705062137
1079,0.0414519033479233
1078,0.0434904114969661
1077,0.0417327916612324
1076,0.0409572297510863
1075,0.0402021324736891
1074,0.0424141161114837
1073,0.0413382607315237
1072,0.0408970705670807
1071,0.0419468274141964
1070,0.0409953491025302
1069,0.0410585094220957
1068,0.0419735714812906
1067,0.0411715096477489
1066,0.0411166705602311
1065,0.0388096108948343
1064,0.0407179792239757
1063,0.0416126654596655
1062,0.0398249053592146
1061,0.039341687734781
1060,0.0385952480669651
1059,0.0399831929875748
1058,0.0390480670218778
1057,0.0388638197092033
1056,0.0386102146554878
1055,0.0391394126724828
1054,0.0387470597843807
1053,0.037613192979558
1052,0.0383830835551768
1051,0.039054099490923
1050,0.0377853604541998
1049,0.0372680472562242
1048,0.0357957410862512
1047,0.0359576002577201
1046,0.0376429179096504
1045,0.0363687749787676
1044,0.0368181783576641
1043,0.0366721092696127
1042,0.0348090788888842
1041,0.0342038718748287
1040,0.0347246120526494
1039,0.0350016585074037
1038,0.0343533435293577
1037,0.0352450789932038
1036,0.0330621796657758
1035,0.0342611501904765
1034,0.0337937334395226
1033,0.0343864886096916
1032,0.0334719070927288
1031,0.0338100744597058
1030,0.0331776165576858
1029,0.0335367510472727
1028,0.0335740567863805
1027,0.0334279842393225
1026,0.033566617755025
1025,0.0337803309041862
1024,0.0330421238186165
1023,0.0336307765983437
1022,0.033103132224472
1021,0.0341993907604491
1020,0.034356537450632
1019,0.0343040928751083
1018,0.0342498059632568
1017,0.0349722821416163
1016,0.034927253461227
1015,0.0352429734231031
1014,0.0359978143397961
1013,0.0362184393549452
1012,0.037044633244639
1011,0.0381577952350393
1010,0.038442188434797
1009,0.0386174010646412
1008,0.0395950114909531
1007,0.0414562036148712
1006,0.0412296574580876
1005,0.0425777474663326
1004,0.0429572886035925
1003,0.0447824088884748
1002,0.0458489466870915
1001,0.0466146840510492
1000,0.0483581556637948
999,0.0493559940154748
998,0.051600350773999
997,0.0523698222265912
996,0.0543898432249402
995,0.0555428345140774
994,0.0575247126082577
993,0.0592100575011947
992,0.0606581745072305
991,0.0627963522344745
990,0.0646086116235817
989,0.0659888924705891
988,0.0691731097533804
987,0.0714403207117842
986,0.0732049475320505
985,0.0753225743046816
984,0.0780879368347965
983,0.0796792668864499
982,0.0820876619852105
981,0.0850226218559132
980,0.0869898963730348
979,0.0884436776029202
978,0.0907135104828154
977,0.0932034664041041
976,0.0952053033526117
975,0.0977428767284077
974,0.0991411119815948
973,0.100707204030745
972,0.10300533522934
971,0.104523273858976
970,0.106355389500371
969,0.10878360258533
968,0.109828778725618
967,0.112483262600676
966,0.113310446185872
965,0.115321684479204
964,0.115967090589012
963,0.11728550832037
962,0.117687785935546
961,0.116880011678144
960,0.116269616867678
959,0.115852594816029
958,0.11427110170526
957,0.11121821177332
956,0.109197783000057
955,0.106235167605975
954,0.103373509217979
953,0.100416301494605
952,0.0975377417045606
951,0.0951259263963932
950,0.0937777372537288
949,0.0911119530031628
948,0.0896866505103845
947,0.0881650897191456
946,0.0866854692972578
945,0.0856146371191544
944,0.08494766541557
943,0.0838593438514041
942,0.0832984388312622
941,0.0813753133383683
940,0.0806748847822869
939,0.0796315328462167
938,0.0789124568671735
937,0.0779313975380427
936,0.0776137834988152
935,0.0756012062380932
934,0.0748727426515819
933,0.074204456619237
932,0.0732329827847171
931,0.0719171561785115
930,0.0715145075372936
929,0.0703846776995458
928,0.0696966631206493
927,0.0689660131429288
926,0.0677681640062271
925,0.0669705838016358
924,0.0667482637498785
923,0.0656816368453299
922,0.0659339018423846
921,0.0643920605991684
920,0.0649242469092666
919,0.0640753416520483
918,0.0639954855919226
917,0.0636502516416133
916,0.0636038875453937
915,0.0635211517700813
914,0.0625170541306244
913,0.0627033924095786
912,0.062804339093565
911,0.0626818003430706
910,0.0628726372238304
909,0.0633919704473698
908,0.063521001955013
907,0.0625444676321716
906,0.0625259326870293
905,0.0626957662800901
904,0.0627353937069875
903,0.062137508678971
902,0.0629956488142994
901,0.0631008841394312
900,0.0622365015508238
899,0.063036710304446
898,0.0629764960942045
897,0.0634509840486982
896,0.0626111102843519
895,0.0633060106660572
894,0.063850810135766
893,0.063290018632699
892,0.0637337614588716
891,0.0640472013648715
890,0.0636765378171284
889,0.0645237021047081
888,0.0641175855061069
887,0.0644598281700014
886,0.0646993062354435
885,0.0649151989500598
884,0.0651163726609934
883,0.0653848295611781
882,0.0655301374383931
881,0.0654497425858876
880,0.0655218895838796
879,0.0663339706660815
878,0.0656676950060383
877,0.0666475430988011
876,0.066091690887224
875,0.0664855999498979
874,0.0668362361036412
873,0.0664941376465422
872,0.0669055638684894
871,0.0662952800453867
870,0.0682063921340365
869,0.0679409079828346
868,0.0685296855526305
867,0.0680040244875717
