Wavelength (nm),Au@BSPP
1100,-0.000782603846931309
1099,0.00089523048908149
1098,-0.000133913352091861
1097,0.00138854041292014
1096,6.53669890582323E-05
1095,-0.000158082720048838
1094,-0.00248600056833599
1093,0.00189015891486229
1092,-0.000831230806614415
1091,0.000573519746756617
1090,-0.00018344099632538
1089,0.000608046792753872
1088,0.000156845515074207
1087,-0.00176473196055994
1086,-0.00237665086816452
1085,-0.000562344946827341
1084,-0.000636380114780215
1083,0.00205491904272517
1082,0.000116839090350768
1081,0.000157492898525003
1080,-0.00131033631276543
1079,-0.000174488141349222
1078,-0.00115742289921151
1077,0.00012528026867587
1076,-0.000815883671978079
1075,-0.000723169244155161
1074,0.00108109999927131
1073,-0.00309474579278663
1072,-0.00325710170593878
1071,0.00065984250907779
1070,-0.0015352204661713
1069,-0.00242026019327288
1068,-0.000237982148742582
1067,0.000231067840614088
1066,-0.000763327253960289
1065,-0.00044578636471468
1064,-0.000752629150877513
1063,-0.000408547216337253
1062,-0.00139652642576513
1061,0.00047539704845701
1060,-0.00148285422329486
1059,-0.00127802351487314
1058,-0.00106571097516126
1057,-0.000505672631483158
1056,-0.000962718534670744
1055,-0.00106059808514022
1054,-0.000954608263038025
1053,-0.00101096377186069
1052,-0.000251280043858982
1051,-0.000303070688040404
1050,-9.56640019732149E-05
1049,-0.00127879781130765
1048,-0.000649614122364735
1047,-0.000961840359703972
1046,-0.000926091965428542
1045,-0.0016661342422356
1044,-0.00159583360163377
1043,-0.00158665190011327
1042,-0.00143832505157975
1041,-0.00158814780854147
1040,-0.00102744030711804
1039,-0.00188995798100288
1038,-0.00164524639205199
1037,-0.00104815130326175
1036,-0.0009800750402243
1035,-0.0011202963622447
1034,-0.00158794147665081
1033,-0.00147465046638622
1032,-0.00188614347695559
1031,-0.0018444910362918
1030,-0.0017944306519219
1029,-0.00122521324022684
1028,-0.00227741947480144
1027,-0.00265872111325151
1026,-0.00106617578036021
1025,-0.00176241166476483
1024,-0.00149291522303212
1023,-0.00161677540801895
1022,-0.00185093505378923
1021,-0.00155136760036288
1020,-0.00170718496604173
1019,-0.00137629651036725
1018,-0.00128757307441985
1017,-0.00211562420406138
1016,-0.00178473755230197
1015,-0.00189805080432148
1014,-0.00198257828864351
