Wavelength (nm),Au@BSPP@70C,Au@BSPP@5C
1100,0.0206049348386019,0.919662500352975
1099,0.0198252261169455,0.914540501823322
1098,0.0204539063061309,0.921381608757935
1097,0.0194790354560269,0.933760165458175
1096,0.0172381103707709,0.934498466775149
1095,0.0173605700691812,0.926085658681846
1094,0.017504543430549,0.928351629884559
1093,0.0152470797092837,0.931224282950258
1092,0.0157139475750326,0.932227076759219
1091,0.017310461399255,0.934893990940442
1090,0.0164319671461767,0.942260277422825
1089,0.0160983554202356,0.941913835891423
1088,0.0165658977688075,0.933684110066125
1087,0.0184689097936781,0.940766047915694
1086,0.0148334771919968,0.940589464903093
1085,0.017647971426325,0.939374863659975
1084,0.0162898538756056,0.944207938095391
1083,0.0156923689572594,0.939053436339276
1082,0.0148683263760069,0.946743920726579
1081,0.0152146397242409,0.949980239394307
1080,0.0159500135872797,0.93870223694775
1079,0.0140012496174688,0.954721939422512
1078,0.0143924387794076,0.95246729763053
1077,0.0155173909393908,0.963969946132306
1076,0.0141505317848308,0.95928582398809
1075,0.0151025393578168,0.954236157716296
1074,0.0157079891928239,0.963019680863138
1073,0.0120896433932808,0.965308504454887
1072,0.0125133481793013,0.961642586391389
1071,0.015745324368742,0.95965746762861
1070,0.0135491439500206,0.961902480279416
1069,0.014537572732165,0.951721837662868
1068,0.0137579304909208,0.955923223172664
1067,0.0134299968296888,0.958810805038932
1066,0.01480947815017,0.967590654958658
1065,0.0125638123301718,0.971100369046041
1064,0.0136639427553692,0.974360070760005
1063,0.0143172547527795,0.970385000492523
1062,0.0134506623196067,0.966472791579106
1061,0.0133791115851872,0.976777546552563
1060,0.0123459046320847,0.97333773531842
1059,0.0132739961046694,0.976949286266861
1058,0.0119313295586556,0.976165566853219
1057,0.0123954437231001,0.981820502383612
1056,0.0131910534465061,0.972543702640492
1055,0.0119144876606103,0.97757595417732
1054,0.0112201485884208,0.975047101681287
1053,0.011578398246991,0.982303519219334
1052,0.0124000516784922,0.977009003050521
1051,0.0114793524296236,0.981560820038164
1050,0.0109395697755789,0.98359116393915
1049,0.0107530159118432,0.981808803876816
1048,0.0108367946667783,0.984342808399605
1047,0.0110964070810339,0.985474237615264
1046,0.0118547613917557,0.984904888698341
1045,0.0104683367045101,0.984694456739987
1044,0.00888856884518722,0.994138790325834
1043,0.00829090937502851,0.989592251640197
1042,0.00971626221257174,0.984503828125109
1041,0.00892001124362011,0.990716838200955
1040,0.00898895468803598,0.991005413110355
1039,0.00974374063338861,0.993130470525283
1038,0.00776629892586736,0.99549229132558
1037,0.00871646865458115,0.989218719537691
1036,0.00791274110082229,0.991513165704084
1035,0.00811548527585684,0.991060120751109
1034,0.00857595973751383,0.996381657079649
1033,0.00737063021223645,0.996195805316835
1032,0.00865665240469979,1.00049168450381
1031,0.00831647708820042,0.995291199247009
1030,0.00771235760386391,0.995343472309985
1029,0.00787976358196921,1.00061175368834
1028,0.00840960483894793,0.997064887547025
1027,0.00774189669678839,0.998278434016324
1026,0.00807062501610445,1.0014699864077
1025,0.00828141091769438,1.00229849417496
1024,0.00765381236872465,1.00249166278383
1023,0.00797372051931863,1.00321994881905
1022,0.00857683101150646,1.000946898329
1021,0.00807284022881189,1.00480119896305
1020,0.00882862321820292,1.00884674605651
1019,0.00916742872106434,1.00267886158139
1018,0.00882098860456043,1.0046218805048
1017,0.00894588026816349,1.00426179904782
1016,0.00958582961036319,1.00628283364314
1015,0.00977010884518883,1.00458021804521
1014,0.00978318764861861,1.00499590971986
1013,0.01042150930534,1.00744627355282
1012,0.0113922341767571,1.0085300025122
1011,0.0123709131765844,1.0065709048902
1010,0.0131757369405923,1.00650878855805
1009,0.0144872801861805,1.00761681727239
1008,0.0143923585048226,1.00782844383926
1007,0.0142627879089526,1.00600682972423
1006,0.016253869261161,1.01129890309145
1005,0.0167667231997501,1.00298279606616
1004,0.0176187213165823,1.00827947827091
1003,0.0188567652659579,1.00693501097433
